[Czas: 17:13:37.837]	[Komisja B] [P] Przewodniczący 0 w komisji B: Rozpoczynam pracę.
[Czas: 17:13:40.662]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017057] treść nr: 6
[Czas: 17:13:40.664]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017063] |	 Wynik cząstkowy: 29
[Czas: 17:13:40.664]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017063] |	 Wynik cząstkowy: 60
[Czas: 17:13:40.664]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017063] |	 ZDAŁ B |	 Wynik: 40.67 pkt
[Czas: 17:13:40.664]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017064] treść nr: 25
[Czas: 17:13:40.664]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017064] treść nr: 5
[Czas: 17:13:40.665]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017064] treść nr: 34
[Czas: 17:13:40.665]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017064] |	 Wynik cząstkowy: 19
[Czas: 17:13:40.665]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017064] |	 Wynik cząstkowy: 57
[Czas: 17:13:40.665]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017064] |	 Wynik cząstkowy: 10
[Czas: 17:13:40.665]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017064] |	 OBLAŁ B |	 Wynik: 28.67 pkt
[Czas: 17:13:40.665]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017068] treść nr: 10
[Czas: 17:13:40.666]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017068] treść nr: 44
[Czas: 17:13:40.666]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017068] treść nr: 21
[Czas: 17:13:40.666]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017068] |	 Wynik cząstkowy: 50
[Czas: 17:13:40.666]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017068] |	 Wynik cząstkowy: 62
[Czas: 17:13:40.666]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017068] |	 Wynik cząstkowy: 65
[Czas: 17:13:40.666]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017068] |	 ZDAŁ B |	 Wynik: 59.00 pkt
[Czas: 17:13:40.667]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017069] treść nr: 19
[Czas: 17:13:40.667]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017069] treść nr: 43
[Czas: 17:13:40.667]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017069] treść nr: 38
[Czas: 17:13:40.667]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017069] |	 Wynik cząstkowy: 38
[Czas: 17:13:40.667]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017069] |	 Wynik cząstkowy: 30
[Czas: 17:13:40.667]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017069] |	 Wynik cząstkowy: 24
[Czas: 17:13:40.667]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017069] |	 ZDAŁ B |	 Wynik: 30.67 pkt
[Czas: 17:13:40.667]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017070] treść nr: 31
[Czas: 17:13:40.667]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017070] treść nr: 36
[Czas: 17:13:40.668]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017070] treść nr: 29
[Czas: 17:13:40.668]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017070] |	 Wynik cząstkowy: 42
[Czas: 17:13:40.668]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017070] |	 Wynik cząstkowy: 66
[Czas: 17:13:40.668]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017070] |	 Wynik cząstkowy: 13
[Czas: 17:13:40.668]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017070] |	 ZDAŁ B |	 Wynik: 40.33 pkt
[Czas: 17:13:40.668]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017071] treść nr: 23
[Czas: 17:13:40.668]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017071] treść nr: 12
[Czas: 17:13:40.668]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017071] treść nr: 42
[Czas: 17:13:40.669]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017071] |	 Wynik cząstkowy: 4
[Czas: 17:13:40.669]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017071] |	 Wynik cząstkowy: 29
[Czas: 17:13:40.669]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017071] |	 Wynik cząstkowy: 38
[Czas: 17:13:40.669]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017071] |	 OBLAŁ B |	 Wynik: 23.67 pkt
[Czas: 17:13:40.710]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017072] treść nr: 49
[Czas: 17:13:40.710]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017072] treść nr: 9
[Czas: 17:13:40.710]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017072] treść nr: 8
[Czas: 17:13:40.710]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017072] |	 Wynik cząstkowy: 83
[Czas: 17:13:40.710]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017072] |	 Wynik cząstkowy: 46
[Czas: 17:13:40.710]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017072] |	 Wynik cząstkowy: 60
[Czas: 17:13:40.710]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017072] |	 ZDAŁ B |	 Wynik: 63.00 pkt
[Czas: 17:13:40.711]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017073] treść nr: 39
[Czas: 17:13:40.711]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017073] treść nr: 22
[Czas: 17:13:40.711]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017073] treść nr: 14
[Czas: 17:13:40.711]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017073] |	 Wynik cząstkowy: 43
[Czas: 17:13:40.711]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017073] |	 Wynik cząstkowy: 7
[Czas: 17:13:40.711]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017073] |	 Wynik cząstkowy: 4
[Czas: 17:13:40.712]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017073] |	 OBLAŁ B |	 Wynik: 18.00 pkt
[Czas: 17:13:40.712]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017074] treść nr: 8
[Czas: 17:13:40.712]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017074] treść nr: 15
[Czas: 17:13:40.712]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017074] treść nr: 24
[Czas: 17:13:40.712]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017074] |	 Wynik cząstkowy: 84
[Czas: 17:13:40.712]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017074] |	 Wynik cząstkowy: 13
[Czas: 17:13:40.712]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017074] |	 Wynik cząstkowy: 32
[Czas: 17:13:40.713]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017074] |	 ZDAŁ B |	 Wynik: 43.00 pkt
[Czas: 17:13:40.713]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017076] treść nr: 13
[Czas: 17:13:40.713]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017076] treść nr: 45
[Czas: 17:13:40.713]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017076] treść nr: 44
[Czas: 17:13:40.713]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017076] |	 Wynik cząstkowy: 15
[Czas: 17:13:40.713]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017076] |	 Wynik cząstkowy: 3
[Czas: 17:13:40.713]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017076] |	 Wynik cząstkowy: 71
[Czas: 17:13:40.713]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017076] |	 OBLAŁ B |	 Wynik: 29.67 pkt
[Czas: 17:13:40.716]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017080] treść nr: 1
[Czas: 17:13:40.716]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017080] treść nr: 28
[Czas: 17:13:40.716]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017080] treść nr: 49
[Czas: 17:13:40.716]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017080] |	 Wynik cząstkowy: 16
[Czas: 17:13:40.716]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017080] |	 Wynik cząstkowy: 46
[Czas: 17:13:40.716]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017080] |	 Wynik cząstkowy: 32
[Czas: 17:13:40.717]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017080] |	 ZDAŁ B |	 Wynik: 31.33 pkt
[Czas: 17:13:40.717]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017081] treść nr: 45
[Czas: 17:13:40.717]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017081] treść nr: 33
[Czas: 17:13:40.717]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017081] treść nr: 39
[Czas: 17:13:40.718]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017081] |	 Wynik cząstkowy: 85
[Czas: 17:13:40.718]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017081] |	 Wynik cząstkowy: 15
[Czas: 17:13:40.718]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017081] |	 Wynik cząstkowy: 72
[Czas: 17:13:40.718]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017081] |	 ZDAŁ B |	 Wynik: 57.33 pkt
[Czas: 17:13:40.718]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017082] treść nr: 25
[Czas: 17:13:40.718]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017082] treść nr: 4
[Czas: 17:13:40.718]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017082] treść nr: 22
[Czas: 17:13:40.719]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017082] |	 Wynik cząstkowy: 51
[Czas: 17:13:40.719]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017082] |	 Wynik cząstkowy: 31
[Czas: 17:13:40.719]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017082] |	 Wynik cząstkowy: 37
[Czas: 17:13:40.719]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017082] |	 ZDAŁ B |	 Wynik: 39.67 pkt
[Czas: 17:13:40.720]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017084] treść nr: 18
[Czas: 17:13:40.720]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017084] treść nr: 23
[Czas: 17:13:40.721]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017084] treść nr: 32
[Czas: 17:13:40.721]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017084] |	 Wynik cząstkowy: 13
[Czas: 17:13:40.721]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017084] |	 Wynik cząstkowy: 18
[Czas: 17:13:40.721]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017084] |	 Wynik cząstkowy: 100
[Czas: 17:13:40.721]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017084] |	 ZDAŁ B |	 Wynik: 43.67 pkt
[Czas: 17:13:40.721]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017085] treść nr: 49
[Czas: 17:13:40.722]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017085] treść nr: 32
[Czas: 17:13:40.722]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017085] treść nr: 41
[Czas: 17:13:40.722]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017085] |	 Wynik cząstkowy: 93
[Czas: 17:13:40.722]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017085] |	 Wynik cząstkowy: 52
[Czas: 17:13:40.722]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017085] |	 Wynik cząstkowy: 71
[Czas: 17:13:40.722]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017085] |	 ZDAŁ B |	 Wynik: 72.00 pkt
[Czas: 17:13:40.723]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017086] treść nr: 29
[Czas: 17:13:40.723]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017086] treść nr: 24
[Czas: 17:13:40.723]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017086] treść nr: 15
[Czas: 17:13:40.723]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017086] |	 Wynik cząstkowy: 84
[Czas: 17:13:40.723]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017086] |	 Wynik cząstkowy: 63
[Czas: 17:13:40.723]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017086] |	 Wynik cząstkowy: 7
[Czas: 17:13:40.724]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017086] |	 ZDAŁ B |	 Wynik: 51.33 pkt
[Czas: 17:13:40.724]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017087] treść nr: 40
[Czas: 17:13:40.724]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017087] treść nr: 50
[Czas: 17:13:40.724]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017087] treść nr: 16
[Czas: 17:13:40.724]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017087] |	 Wynik cząstkowy: 0
[Czas: 17:13:40.724]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017087] |	 Wynik cząstkowy: 31
[Czas: 17:13:40.724]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017087] |	 Wynik cząstkowy: 32
[Czas: 17:13:40.725]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017087] |	 OBLAŁ B |	 Wynik: 21.00 pkt
[Czas: 17:13:40.725]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017088] treść nr: 8
[Czas: 17:13:40.725]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017088] treść nr: 24
[Czas: 17:13:40.725]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017088] treść nr: 29
[Czas: 17:13:40.725]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017088] |	 Wynik cząstkowy: 97
[Czas: 17:13:40.725]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017088] |	 Wynik cząstkowy: 85
[Czas: 17:13:40.725]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017088] |	 Wynik cząstkowy: 90
[Czas: 17:13:40.725]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017088] |	 ZDAŁ B |	 Wynik: 90.67 pkt
[Czas: 17:13:40.725]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017089] treść nr: 46
[Czas: 17:13:40.725]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Zadał kandydatowi [PID: 1017089] treść nr: 24
[Czas: 17:13:40.726]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017089] treść nr: 39
[Czas: 17:13:40.726]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017061] [ID: 1] |	 Ocenił kandydata [PID: 1017089] |	 Wynik cząstkowy: 96
[Czas: 17:13:40.726]	[Komisja B] [PID: 1017056] |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Ocenił kandydata [PID: 1017089] |	 Wynik cząstkowy: 70
[Czas: 17:13:40.726]	[Komisja B] [PID: 1017056] |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Ocenił kandydata [PID: 1017089] |	 Wynik cząstkowy: 38
[Czas: 17:13:40.726]	[Komisja B] [PID: 1017056] |	 Kandydat [PID: 1017089] |	 ZDAŁ B |	 Wynik: 68.00 pkt
[Czas: 17:13:40.726]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1017059] [ID: 0] |	 Zadał kandydatowi [PID: 1017090] treść nr: 46
[Czas: 17:13:40.726]	[Komisja B] [PID: 1017056] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1017062] [ID: 2] |	 Zadał kandydatowi [PID: 1017090] treść nr: 13
