[Czas: 15:42:48.749]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 15:42:51.164]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887240] treść nr: 24
[Czas: 15:42:52.208]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887245] |	 Wynik cząstkowy: 96
[Czas: 15:42:52.208]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887245] |	 Wynik cząstkowy: 61
[Czas: 15:42:52.208]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887245] |	 Wynik cząstkowy: 70
[Czas: 15:42:52.208]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887245] |	 Wynik cząstkowy: 42
[Czas: 15:42:52.209]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887245] |	 ZDAŁ A (-> B) |	 Wynik: 62.60 pkt
[Czas: 15:42:52.209]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887246] treść nr: 24
[Czas: 15:42:52.209]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887246] treść nr: 22
[Czas: 15:42:52.210]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887246] treść nr: 49
[Czas: 15:42:52.210]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887246] treść nr: 47
[Czas: 15:42:52.210]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887246] treść nr: 35
[Czas: 15:42:52.416]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887246] |	 Wynik cząstkowy: 17
[Czas: 15:42:52.416]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887246] |	 Wynik cząstkowy: 77
[Czas: 15:42:52.416]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887246] |	 Wynik cząstkowy: 77
[Czas: 15:42:52.416]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887246] |	 Wynik cząstkowy: 44
[Czas: 15:42:52.416]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887246] |	 Wynik cząstkowy: 25
[Czas: 15:42:52.416]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887246] |	 ZDAŁ A (-> B) |	 Wynik: 48.00 pkt
[Czas: 15:42:52.417]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887247] treść nr: 5
[Czas: 15:42:52.417]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887247] treść nr: 8
[Czas: 15:42:52.417]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887247] treść nr: 12
[Czas: 15:42:52.417]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887247] treść nr: 20
[Czas: 15:42:52.418]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887247] treść nr: 15
[Czas: 15:42:52.631]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887247] |	 Wynik cząstkowy: 10
[Czas: 15:42:52.631]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887247] |	 Wynik cząstkowy: 3
[Czas: 15:42:52.631]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887247] |	 Wynik cząstkowy: 76
[Czas: 15:42:52.631]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887247] |	 Wynik cząstkowy: 76
[Czas: 15:42:52.631]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887247] |	 Wynik cząstkowy: 36
[Czas: 15:42:52.632]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887247] |	 ZDAŁ A (-> B) |	 Wynik: 40.20 pkt
[Czas: 15:42:52.632]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887248] treść nr: 4
[Czas: 15:42:52.633]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887248] treść nr: 33
[Czas: 15:42:52.633]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887248] treść nr: 7
[Czas: 15:42:52.633]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887248] treść nr: 23
[Czas: 15:42:52.633]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887248] treść nr: 10
[Czas: 15:42:52.852]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887248] |	 Wynik cząstkowy: 82
[Czas: 15:42:52.852]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887248] |	 Wynik cząstkowy: 8
[Czas: 15:42:52.852]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887248] |	 Wynik cząstkowy: 67
[Czas: 15:42:52.852]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887248] |	 Wynik cząstkowy: 5
[Czas: 15:42:52.852]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887248] |	 Wynik cząstkowy: 56
[Czas: 15:42:52.853]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887248] |	 ZDAŁ A (-> B) |	 Wynik: 43.60 pkt
[Czas: 15:42:52.854]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887249] treść nr: 14
[Czas: 15:42:52.854]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887249] treść nr: 9
[Czas: 15:42:52.854]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887249] treść nr: 22
[Czas: 15:42:52.854]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887249] treść nr: 12
[Czas: 15:42:52.854]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887249] treść nr: 8
[Czas: 15:42:53.057]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887249] |	 Wynik cząstkowy: 57
[Czas: 15:42:53.057]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887249] |	 Wynik cząstkowy: 47
[Czas: 15:42:53.057]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887249] |	 Wynik cząstkowy: 46
[Czas: 15:42:53.057]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887249] |	 Wynik cząstkowy: 29
[Czas: 15:42:53.057]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887249] |	 Wynik cząstkowy: 70
[Czas: 15:42:53.058]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887249] |	 ZDAŁ A (-> B) |	 Wynik: 49.80 pkt
[Czas: 15:42:53.059]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887250] treść nr: 18
[Czas: 15:42:53.059]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887250] treść nr: 33
[Czas: 15:42:53.059]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887250] treść nr: 20
[Czas: 15:42:53.059]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887250] treść nr: 31
[Czas: 15:42:53.059]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887250] treść nr: 2
[Czas: 15:42:53.264]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887250] |	 Wynik cząstkowy: 28
[Czas: 15:42:53.264]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887250] |	 Wynik cząstkowy: 63
[Czas: 15:42:53.264]	[Czas: 15:42:53.264]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887250] |	 Wynik cząstkowy: 70
[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887250] |	 Wynik cząstkowy: 32
[Czas: 15:42:53.264]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887250] |	 Wynik cząstkowy: 14
[Czas: 15:42:53.265]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887250] |	 ZDAŁ A (-> B) |	 Wynik: 41.40 pkt
[Czas: 15:42:53.265]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887251] treść nr: 19
[Czas: 15:42:53.266]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887251] treść nr: 10
[Czas: 15:42:53.266]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887251] treść nr: 4
[Czas: 15:42:53.266]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887251] treść nr: 25
[Czas: 15:42:53.266]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887251] treść nr: 34
[Czas: 15:42:53.467]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887251] |	 Wynik cząstkowy: 7
[Czas: 15:42:53.467]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887251] |	 Wynik cząstkowy: 35
[Czas: 15:42:53.467]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887251] |	 Wynik cząstkowy: 15
[Czas: 15:42:53.467]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887251] |	 Wynik cząstkowy: 75
[Czas: 15:42:53.467]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887251] |	 Wynik cząstkowy: 13
[Czas: 15:42:53.468]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887251] |	 OBLAŁ A (Koniec) |	 Wynik: 29.00 pkt
[Czas: 15:42:53.469]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887252] treść nr: 12
[Czas: 15:42:53.469]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887252] treść nr: 33
[Czas: 15:42:53.469]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887252] treść nr: 6
[Czas: 15:42:53.469]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887252] treść nr: 47
[Czas: 15:42:53.469]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887252] treść nr: 13
[Czas: 15:42:53.671]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887252] |	 Wynik cząstkowy: 100
[Czas: 15:42:53.671]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887252] |	 Wynik cząstkowy: 12
[Czas: 15:42:53.671]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887252] |	 Wynik cząstkowy: 90
[Czas: 15:42:53.671]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887252] |	 Wynik cząstkowy: 77
[Czas: 15:42:53.671]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887252] |	 Wynik cząstkowy: 33
[Czas: 15:42:53.672]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887252] |	 ZDAŁ A (-> B) |	 Wynik: 62.40 pkt
[Czas: 15:42:53.672]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Zadał kandydatowi [PID: 887253] treść nr: 49
[Czas: 15:42:53.672]	[Komisja A] [PID: 887229] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887253] treść nr: 1
[Czas: 15:42:53.673]	[Komisja A] [PID: 887229] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Zadał kandydatowi [PID: 887253] treść nr: 43
[Czas: 15:42:53.673]	[Komisja A] [PID: 887229] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Zadał kandydatowi [PID: 887253] treść nr: 31
[Czas: 15:42:53.673]	[Komisja A] [PID: 887229] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Zadał kandydatowi [PID: 887253] treść nr: 2
[Czas: 15:42:53.888]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887238] [ID: 3] |	 Ocenił kandydata [PID: 887253] |	 Wynik cząstkowy: 22
[Czas: 15:42:53.888]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Ocenił kandydata [PID: 887253] |	 Wynik cząstkowy: 29
[Czas: 15:42:53.888]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887239] [ID: 4] |	 Ocenił kandydata [PID: 887253] |	 Wynik cząstkowy: 27
[Czas: 15:42:53.888]	[Komisja A] [PID: 887229] |	 Egzaminator [C] [TID: 887234] [ID: 1] |	 Ocenił kandydata [PID: 887253] |	 Wynik cząstkowy: 93
[Czas: 15:42:53.888]	[Komisja A] [PID: 887229] |	 Egzaminator [P] [TID: 887232] [ID: 0] |	 Ocenił kandydata [PID: 887253] |	 Wynik cząstkowy: 81
[Czas: 15:42:53.888]	[Komisja A] [PID: 887229] |	 Kandydat [PID: 887253] |	 ZDAŁ A (-> B) |	 Wynik: 50.40 pkt
[Czas: 15:42:53.889]	[Komisja A] [PID: 887229] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 887236] [ID: 2] |	 Zadał kandydatowi [PID: 887254] treść nr: 6
