[Czas: 16:24:01.694]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 16:24:02.009]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920338] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920358] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920359] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920360] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920361] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920362] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920363] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920364] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920365] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920366] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920367] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920368] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.015]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920369] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920370] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920371] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920372] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920373] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920374] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920375] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920376] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920377] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920378] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920379] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920380] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920381] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.016]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920382] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920383] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920384] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920385] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920386] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920387] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920388] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920389] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920390] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920391] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920392] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920393] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920394] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920395] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920396] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.017]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920397] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920398] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920399] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920400] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920401] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920402] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920403] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920404] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920405] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920406] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920407] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920408] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920409] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920410] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920411] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920412] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920413] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920414] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920415] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920416] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920417] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920418] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.018]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920419] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920420] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920421] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920422] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920423] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920424] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920425] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920426] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920427] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920428] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920429] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920430] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920431] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920432] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920433] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920434] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920435] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920436] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920437] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920438] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.019]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920439] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920440] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920441] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920442] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920443] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920444] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920445] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920446] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920447] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920448] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920449] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920450] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920451] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920452] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920453] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920454] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920455] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920456] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920457] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920458] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.020]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920459] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920460] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920461] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920462] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920463] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920464] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920465] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920466] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920467] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920468] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920469] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920470] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920471] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920472] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920473] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920474] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920475] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920476] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920477] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920478] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920479] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920480] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.021]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920481] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920482] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920483] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920484] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920485] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920486] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920487] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920488] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920489] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920490] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920491] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920492] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920493] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920494] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920495] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920496] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920497] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.022]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920498] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920499] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920500] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920501] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920502] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920503] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920504] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920505] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920506] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920507] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920508] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920509] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920510] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 16:24:02.023]	[Komisja A] [PID: 920336] |	 Kandydat [PID: 920511] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
