[Czas: 15:55:19.777]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 15:55:21.054]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897606] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 15:55:21.301]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897614] |	 Wynik cząstkowy: 16
[Czas: 15:55:21.302]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897614] |	 ZDAŁ A (-> B) |	 Wynik: 41.00 pkt
[Czas: 15:55:21.302]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897617] (Stary) |	 ZALICZONA A (Wcześniej) |	 Przekierowanie do B
[Czas: 15:55:21.302]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897618] treść nr: 17
[Czas: 15:55:21.302]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897618] treść nr: 43
[Czas: 15:55:21.303]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897618] treść nr: 6
[Czas: 15:55:21.303]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897618] treść nr: 13
[Czas: 15:55:21.303]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897618] treść nr: 41
[Czas: 15:55:21.304]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897618] |	 Wynik cząstkowy: 2
[Czas: 15:55:21.304]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897618] |	 Wynik cząstkowy: 55
[Czas: 15:55:21.304]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897618] |	 Wynik cząstkowy: 57
[Czas: 15:55:21.304]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897618] |	 Wynik cząstkowy: 36
[Czas: 15:55:21.304]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897618] |	 Wynik cząstkowy: 4
[Czas: 15:55:21.304]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897618] |	 ZDAŁ A (-> B) |	 Wynik: 30.80 pkt
[Czas: 15:55:21.305]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897619] treść nr: 50
[Czas: 15:55:21.305]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897619] treść nr: 37
[Czas: 15:55:21.305]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897619] treść nr: 28
[Czas: 15:55:21.305]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897619] treść nr: 30
[Czas: 15:55:21.305]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897619] treść nr: 45
[Czas: 15:55:21.598]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897619] |	 Wynik cząstkowy: 84
[Czas: 15:55:21.598]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897619] |	 Wynik cząstkowy: 92
[Czas: 15:55:21.598]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897619] |	 Wynik cząstkowy: 78
[Czas: 15:55:21.598]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897619] |	 Wynik cząstkowy: 7
[Czas: 15:55:21.598]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897619] |	 Wynik cząstkowy: 9
[Czas: 15:55:21.599]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897619] |	 ZDAŁ A (-> B) |	 Wynik: 54.00 pkt
[Czas: 15:55:21.599]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897620] treść nr: 24
[Czas: 15:55:21.600]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897620] treść nr: 41
[Czas: 15:55:21.600]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897620] treść nr: 31
[Czas: 15:55:21.600]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897620] treść nr: 40
[Czas: 15:55:21.600]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897620] treść nr: 38
[Czas: 15:55:21.601]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897620] |	 Wynik cząstkowy: 45
[Czas: 15:55:21.600]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897620] |	 Wynik cząstkowy: 29
[Czas: 15:55:21.601]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897620] |	 Wynik cząstkowy: 46
[Czas: 15:55:21.601]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897620] |	 Wynik cząstkowy: 5
[Czas: 15:55:21.601]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897620] |	 Wynik cząstkowy: 38
[Czas: 15:55:21.601]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897620] |	 ZDAŁ A (-> B) |	 Wynik: 32.60 pkt
[Czas: 15:55:21.602]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897621] treść nr: 49
[Czas: 15:55:21.602]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897621] treść nr: 21
[Czas: 15:55:21.602]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897621] treść nr: 46
[Czas: 15:55:21.602]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897621] treść nr: 7
[Czas: 15:55:21.603]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897621] treść nr: 33
[Czas: 15:55:21.603]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897621] |	 Wynik cząstkowy: 65
[Czas: 15:55:21.603]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897621] |	 Wynik cząstkowy: 69
[Czas: 15:55:21.603]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897621] |	 Wynik cząstkowy: 5
[Czas: 15:55:21.603]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897621] |	 Wynik cząstkowy: 70
[Czas: 15:55:21.603]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897621] |	 Wynik cząstkowy: 12
[Czas: 15:55:21.603]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897621] |	 ZDAŁ A (-> B) |	 Wynik: 44.20 pkt
[Czas: 15:55:21.604]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897622] treść nr: 49
[Czas: 15:55:21.604]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897622] treść nr: 27
[Czas: 15:55:21.604]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897622] treść nr: 10
[Czas: 15:55:21.605]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897622] treść nr: 28
[Czas: 15:55:21.605]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897622] treść nr: 8
[Czas: 15:55:21.606]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897622] |	 Wynik cząstkowy: 78
[Czas: 15:55:21.606]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897622] |	 Wynik cząstkowy: 9
[Czas: 15:55:21.606]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897622] |	 Wynik cząstkowy: 13
[Czas: 15:55:21.606]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897622] |	 Wynik cząstkowy: 28
[Czas: 15:55:21.606]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897622] |	 Wynik cząstkowy: 57
[Czas: 15:55:21.607]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897622] |	 ZDAŁ A (-> B) |	 Wynik: 37.00 pkt
[Czas: 15:55:21.607]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897623] treść nr: 34
[Czas: 15:55:21.607]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897623] treść nr: 36
[Czas: 15:55:21.608]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897623] treść nr: 43
[Czas: 15:55:21.608]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897623] treść nr: 14
[Czas: 15:55:21.608]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897623] treść nr: 25
[Czas: 15:55:21.608]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897623] |	 Wynik cząstkowy: 6
[Czas: 15:55:21.608]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897623] |	 Wynik cząstkowy: 42
[Czas: 15:55:21.608]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897623] |	 Wynik cząstkowy: 17
[Czas: 15:55:21.608]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897623] |	 Wynik cząstkowy: 11
[Czas: 15:55:21.608]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897623] |	 Wynik cząstkowy: 88
[Czas: 15:55:21.609]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897623] |	 ZDAŁ A (-> B) |	 Wynik: 32.80 pkt
[Czas: 15:55:21.609]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897624] treść nr: 1
[Czas: 15:55:21.609]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897624] treść nr: 28
[Czas: 15:55:21.610]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897624] treść nr: 41
[Czas: 15:55:21.610]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897624] treść nr: 46
[Czas: 15:55:21.610]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897624] treść nr: 34
[Czas: 15:55:21.611]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897624] |	 Wynik cząstkowy: 95
[Czas: 15:55:21.611]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897624] |	 Wynik cząstkowy: 64
[Czas: 15:55:21.611]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897624] |	 Wynik cząstkowy: 5
[Czas: 15:55:21.611]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897624] |	 Wynik cząstkowy: 0
[Czas: 15:55:21.611]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897624] |	 Wynik cząstkowy: 57
[Czas: 15:55:21.611]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897624] |	 ZDAŁ A (-> B) |	 Wynik: 44.20 pkt
[Czas: 15:55:21.612]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897625] treść nr: 39
[Czas: 15:55:21.612]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897625] treść nr: 6
[Czas: 15:55:21.612]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897625] treść nr: 40
[Czas: 15:55:21.613]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897625] treść nr: 50
[Czas: 15:55:21.613]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897625] treść nr: 36
[Czas: 15:55:21.613]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897625] |	 Wynik cząstkowy: 7
[Czas: 15:55:21.613]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897625] |	 Wynik cząstkowy: 16
[Czas: 15:55:21.613]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897625] |	 Wynik cząstkowy: 80
[Czas: 15:55:21.613]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897625] |	 Wynik cząstkowy: 69
[Czas: 15:55:21.613]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897625] |	 Wynik cząstkowy: 97
[Czas: 15:55:21.614]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897625] |	 ZDAŁ A (-> B) |	 Wynik: 53.80 pkt
[Czas: 15:55:21.614]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897626] treść nr: 11
[Czas: 15:55:21.615]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897626] treść nr: 37
[Czas: 15:55:21.615]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897626] treść nr: 5
[Czas: 15:55:21.615]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897626] treść nr: 3
[Czas: 15:55:21.615]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897626] treść nr: 2
[Czas: 15:55:21.616]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897626] |	 Wynik cząstkowy: 54
[Czas: 15:55:21.617]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897626] |	 Wynik cząstkowy: 98
[Czas: 15:55:21.617]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897626] |	 Wynik cząstkowy: 5
[Czas: 15:55:21.617]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897626] |	 Wynik cząstkowy: 37
[Czas: 15:55:21.617]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897626] |	 Wynik cząstkowy: 75
[Czas: 15:55:21.617]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897626] |	 ZDAŁ A (-> B) |	 Wynik: 53.80 pkt
[Czas: 15:55:21.618]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897627] treść nr: 37
[Czas: 15:55:21.618]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897627] treść nr: 30
[Czas: 15:55:21.618]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897627] treść nr: 43
[Czas: 15:55:21.619]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897627] treść nr: 29
[Czas: 15:55:21.620]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897627] treść nr: 27
[Czas: 15:55:21.621]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897627] |	 Wynik cząstkowy: 19
[Czas: 15:55:21.621]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897627] |	 Wynik cząstkowy: 63
[Czas: 15:55:21.621]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897627] |	 Wynik cząstkowy: 9
[Czas: 15:55:21.621]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897627] |	 Wynik cząstkowy: 42
[Czas: 15:55:21.621]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897627] |	 Wynik cząstkowy: 3
[Czas: 15:55:21.621]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897627] |	 OBLAŁ A (Koniec) |	 Wynik: 27.20 pkt
[Czas: 15:55:21.622]	[Komisja A] [PID: 897604] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Zadał kandydatowi [PID: 897628] treść nr: 22
[Czas: 15:55:21.622]	[Komisja A] [PID: 897604] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Zadał kandydatowi [PID: 897628] treść nr: 33
[Czas: 15:55:21.622]	[Komisja A] [PID: 897604] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Zadał kandydatowi [PID: 897628] treść nr: 18
[Czas: 15:55:21.622]	[Komisja A] [PID: 897604] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Zadał kandydatowi [PID: 897628] treść nr: 11
[Czas: 15:55:21.623]	[Komisja A] [PID: 897604] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Zadał kandydatowi [PID: 897628] treść nr: 32
[Czas: 15:55:21.624]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897615] [ID: 3] |	 Ocenił kandydata [PID: 897628] |	 Wynik cząstkowy: 46
[Czas: 15:55:21.624]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897608] [ID: 1] |	 Ocenił kandydata [PID: 897628] |	 Wynik cząstkowy: 0
[Czas: 15:55:21.624]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897616] [ID: 4] |	 Ocenił kandydata [PID: 897628] |	 Wynik cząstkowy: 96
[Czas: 15:55:21.624]	[Komisja A] [PID: 897604] |	 Egzaminator [C] [TID: 897609] [ID: 2] |	 Ocenił kandydata [PID: 897628] |	 Wynik cząstkowy: 12
[Czas: 15:55:21.624]	[Komisja A] [PID: 897604] |	 Egzaminator [P] [TID: 897607] [ID: 0] |	 Ocenił kandydata [PID: 897628] |	 Wynik cząstkowy: 59
[Czas: 15:55:21.626]	[Komisja A] [PID: 897604] |	 Kandydat [PID: 897628] |	 ZDAŁ A (-> B) |	 Wynik: 42.60 pkt
