[Czas: 11:54:57.879]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 11:55:04.862]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316760] treść nr: 31
[Czas: 11:55:06.517]	[Komisja A] [PID: 316758] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Zadał kandydatowi [PID: 316773] treść nr: 3
[Czas: 11:55:06.819]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Ocenił kandydata [PID: 316773] | Numer pytania: 37 | Jego odpowiedz: 43 	 Wynik cząstkowy: 37
[Czas: 11:55:06.819]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Ocenił kandydata [PID: 316773] | Numer pytania: 17 | Jego odpowiedz: 20 	 Wynik cząstkowy: 42
[Czas: 11:55:06.819]	[Komisja A] [PID: 316758] |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Ocenił kandydata [PID: 316773] | Numer pytania: 2 | Jego odpowiedz: 6 	 Wynik cząstkowy: 59
[Czas: 11:55:06.819]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Ocenił kandydata [PID: 316773] | Numer pytania: 3 | Jego odpowiedz: 5 	 Wynik cząstkowy: 88
[Czas: 11:55:06.819]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Ocenił kandydata [PID: 316773] | Numer pytania: 12 | Jego odpowiedz: 15 	 Wynik cząstkowy: 98
[Czas: 11:55:06.819]	[Komisja A] [PID: 316758] |	 Kandydat [PID: 316773] |	 ZDAŁ A (-> B) |	 Wynik: 64.80 pkt
[Czas: 11:55:06.820]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Zadał kandydatowi [PID: 316775] treść nr: 7
[Czas: 11:55:06.820]	[Komisja A] [PID: 316758] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Zadał kandydatowi [PID: 316775] treść nr: 27
[Czas: 11:55:06.820]	[Komisja A] [PID: 316758] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316775] treść nr: 21
[Czas: 11:55:06.821]	[Komisja A] [PID: 316758] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Zadał kandydatowi [PID: 316775] treść nr: 8
[Czas: 11:55:06.821]	[Komisja A] [PID: 316758] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Zadał kandydatowi [PID: 316775] treść nr: 20
[Czas: 11:55:07.122]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Ocenił kandydata [PID: 316775] | Numer pytania: 21 | Jego odpowiedz: 29 	 Wynik cząstkowy: 26
[Czas: 11:55:07.122]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Ocenił kandydata [PID: 316775] | Numer pytania: 20 | Jego odpowiedz: 29 	 Wynik cząstkowy: 10
[Czas: 11:55:07.122]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Ocenił kandydata [PID: 316775] | Numer pytania: 8 | Jego odpowiedz: 12 	 Wynik cząstkowy: 87
[Czas: 11:55:07.122]	[Komisja A] [PID: 316758] |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Ocenił kandydata [PID: 316775] | Numer pytania: 7 | Jego odpowiedz: 9 	 Wynik cząstkowy: 48
[Czas: 11:55:07.122]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Ocenił kandydata [PID: 316775] | Numer pytania: 27 | Jego odpowiedz: 37 	 Wynik cząstkowy: 32
[Czas: 11:55:07.123]	[Komisja A] [PID: 316758] |	 Kandydat [PID: 316775] |	 ZDAŁ A (-> B) |	 Wynik: 40.60 pkt
[Czas: 11:55:07.123]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Zadał kandydatowi [PID: 316776] treść nr: 37
[Czas: 11:55:07.123]	[Komisja A] [PID: 316758] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Zadał kandydatowi [PID: 316776] treść nr: 50
[Czas: 11:55:07.123]	[Komisja A] [PID: 316758] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Zadał kandydatowi [PID: 316776] treść nr: 14
[Czas: 11:55:07.124]	[Komisja A] [PID: 316758] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Zadał kandydatowi [PID: 316776] treść nr: 45
[Czas: 11:55:07.124]	[Komisja A] [PID: 316758] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316776] treść nr: 27
[Czas: 11:55:07.425]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Ocenił kandydata [PID: 316776] | Numer pytania: 50 | Jego odpowiedz: 59 	 Wynik cząstkowy: 64
[Czas: 11:55:07.425]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Ocenił kandydata [PID: 316776] | Numer pytania: 14 | Jego odpowiedz: 15 	 Wynik cząstkowy: 93
[Czas: 11:55:07.425]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Ocenił kandydata [PID: 316776] | Numer pytania: 45 | Jego odpowiedz: 54 	 Wynik cząstkowy: 95
[Czas: 11:55:07.425]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Ocenił kandydata [PID: 316776] | Numer pytania: 27 | Jego odpowiedz: 35 	 Wynik cząstkowy: 96
[Czas: 11:55:07.425]	[Komisja A] [PID: 316758] |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Ocenił kandydata [PID: 316776] | Numer pytania: 37 | Jego odpowiedz: 38 	 Wynik cząstkowy: 85
[Czas: 11:55:07.425]	[Komisja A] [PID: 316758] |	 Kandydat [PID: 316776] |	 ZDAŁ A (-> B) |	 Wynik: 86.60 pkt
[Czas: 11:55:07.426]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Zadał kandydatowi [PID: 316777] treść nr: 9
[Czas: 11:55:07.426]	[Komisja A] [PID: 316758] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Zadał kandydatowi [PID: 316777] treść nr: 44
[Czas: 11:55:07.426]	[Komisja A] [PID: 316758] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316777] treść nr: 21
[Czas: 11:55:07.426]	[Komisja A] [PID: 316758] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Zadał kandydatowi [PID: 316777] treść nr: 30
[Czas: 11:55:07.426]	[Komisja A] [PID: 316758] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Zadał kandydatowi [PID: 316777] treść nr: 13
[Czas: 11:55:07.728]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Ocenił kandydata [PID: 316777] | Numer pytania: 44 | Jego odpowiedz: 52 	 Wynik cząstkowy: 39
[Czas: 11:55:07.728]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Ocenił kandydata [PID: 316777] | Numer pytania: 30 | Jego odpowiedz: 40 	 Wynik cząstkowy: 78
[Czas: 11:55:07.728]	[Komisja A] [PID: 316758] |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Ocenił kandydata [PID: 316777] | Numer pytania: 9 | Jego odpowiedz: 14 	 Wynik cząstkowy: 42
[Czas: 11:55:07.728]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Ocenił kandydata [PID: 316777] | Numer pytania: 21 | Jego odpowiedz: 26 	 Wynik cząstkowy: 58
[Czas: 11:55:07.728]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Ocenił kandydata [PID: 316777] | Numer pytania: 13 | Jego odpowiedz: 21 	 Wynik cząstkowy: 23
[Czas: 11:55:07.728]	[Komisja A] [PID: 316758] |	 Kandydat [PID: 316777] |	 ZDAŁ A (-> B) |	 Wynik: 48.00 pkt
[Czas: 11:55:07.729]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Zadał kandydatowi [PID: 316778] treść nr: 43
[Czas: 11:55:07.729]	[Komisja A] [PID: 316758] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316778] treść nr: 34
[Czas: 11:55:07.729]	[Komisja A] [PID: 316758] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Zadał kandydatowi [PID: 316778] treść nr: 31
[Czas: 11:55:07.729]	[Komisja A] [PID: 316758] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Zadał kandydatowi [PID: 316778] treść nr: 50
[Czas: 11:55:07.729]	[Komisja A] [PID: 316758] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Zadał kandydatowi [PID: 316778] treść nr: 5
[Czas: 11:55:08.030]	[Komisja A] [PID: 316758] |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Ocenił kandydata [PID: 316778] | Numer pytania: 43 | Jego odpowiedz: 52 	 Wynik cząstkowy: 76
[Czas: 11:55:08.030]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Ocenił kandydata [PID: 316778] | Numer pytania: 31 | Jego odpowiedz: 37 	 Wynik cząstkowy: 98
[Czas: 11:55:08.030]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Ocenił kandydata [PID: 316778] | Numer pytania: 50 | Jego odpowiedz: 53 	 Wynik cząstkowy: 8
[Czas: 11:55:08.030]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Ocenił kandydata [PID: 316778] | Numer pytania: 34 | Jego odpowiedz: 35 	 Wynik cząstkowy: 22
[Czas: 11:55:08.030]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Ocenił kandydata [PID: 316778] | Numer pytania: 5 | Jego odpowiedz: 12 	 Wynik cząstkowy: 7
[Czas: 11:55:08.031]	[Komisja A] [PID: 316758] |	 Kandydat [PID: 316778] |	 ZDAŁ A (-> B) |	 Wynik: 42.20 pkt
[Czas: 11:55:08.031]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Zadał kandydatowi [PID: 316780] treść nr: 37
[Czas: 11:55:08.031]	[Komisja A] [PID: 316758] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316780] treść nr: 14
[Czas: 11:55:08.031]	[Komisja A] [PID: 316758] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Zadał kandydatowi [PID: 316780] treść nr: 9
[Czas: 11:55:08.032]	[Komisja A] [PID: 316758] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Zadał kandydatowi [PID: 316780] treść nr: 31
[Czas: 11:55:08.032]	[Komisja A] [PID: 316758] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Zadał kandydatowi [PID: 316780] treść nr: 42
[Czas: 11:55:08.333]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Ocenił kandydata [PID: 316780] | Numer pytania: 42 | Jego odpowiedz: 46 	 Wynik cząstkowy: 90
[Czas: 11:55:08.334]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Ocenił kandydata [PID: 316780] | Numer pytania: 9 | Jego odpowiedz: 13 	 Wynik cząstkowy: 82
[Czas: 11:55:08.334]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Ocenił kandydata [PID: 316780] | Numer pytania: 14 | Jego odpowiedz: 21 	 Wynik cząstkowy: 13
[Czas: 11:55:08.334]	[Komisja A] [PID: 316758] |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Ocenił kandydata [PID: 316780] | Numer pytania: 37 | Jego odpowiedz: 41 	 Wynik cząstkowy: 19
[Czas: 11:55:08.334]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Ocenił kandydata [PID: 316780] | Numer pytania: 31 | Jego odpowiedz: 37 	 Wynik cząstkowy: 48
[Czas: 11:55:08.334]	[Komisja A] [PID: 316758] |	 Kandydat [PID: 316780] |	 ZDAŁ A (-> B) |	 Wynik: 50.40 pkt
[Czas: 11:55:08.335]	[Komisja A] [PID: 316758] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Zadał kandydatowi [PID: 316781] treść nr: 5
[Czas: 11:55:08.335]	[Komisja A] [PID: 316758] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Zadał kandydatowi [PID: 316781] treść nr: 16
[Czas: 11:55:08.335]	[Komisja A] [PID: 316758] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 316761] [ID: 0] |	 Zadał kandydatowi [PID: 316781] treść nr: 48
[Czas: 11:55:08.335]	[Komisja A] [PID: 316758] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Zadał kandydatowi [PID: 316781] treść nr: 25
[Czas: 11:55:08.335]	[Komisja A] [PID: 316758] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 316765] [ID: 2] |	 Zadał kandydatowi [PID: 316781] treść nr: 47
[Czas: 11:55:08.637]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316767] [ID: 3] |	 Ocenił kandydata [PID: 316781] | Numer pytania: 25 | Jego odpowiedz: 27 	 Wynik cząstkowy: 29
[Czas: 11:55:08.637]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316763] [ID: 1] |	 Ocenił kandydata [PID: 316781] | Numer pytania: 5 | Jego odpowiedz: 15 	 Wynik cząstkowy: 42
[Czas: 11:55:08.637]	[Komisja A] [PID: 316758] |	 Egzaminator [C] [TID: 316770] [ID: 4] |	 Ocenił kandydata [PID: 316781] | Numer pytania: 16 | Jego odpowiedz: 18 	 Wynik cząstkowy: 21
