[Czas: 16:24:01.694]	[Dziekan] [PID: 920335] Rekrutacja otwarta. Generuję komisje i kandydatów 
[Czas: 16:24:01.694]	[Dziekan] [PID: 920335] Rozpoczynam sekwencyjne tworzenie kandydatów...
[Czas: 16:24:02.009]	[Dziekan] [PID: 920335] Utworzono 500 kandydatów. Czekają w kolejce FIFO.
[Czas: 16:24:02.009]	[Dziekan] [PID: 920335] Czekam na godzinę T 2...
[Czas: 16:24:02.009]	[Dziekan] [PID: 920335] Godzina T wybija! Odbieram zgłoszenia (FIFO).
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920404] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920405] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920406] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920407] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920408] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920409] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920410] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920411] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920412] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920413] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920414] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920415] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920416] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920417] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920418] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920419] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.018]	[Dziekan] [PID: 920335] Kandydat [PID: 920420] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920421] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920422] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920423] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920424] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920425] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920426] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920427] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920428] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920429] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920430] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920431] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920432] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920433] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920434] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920435] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920436] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920437] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920438] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.019]	[Dziekan] [PID: 920335] Kandydat [PID: 920439] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920440] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920441] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920442] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920443] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920444] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920445] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920446] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920447] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920448] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920449] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920450] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920451] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920452] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920453] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920454] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920455] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920456] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920457] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920458] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.020]	[Dziekan] [PID: 920335] Kandydat [PID: 920459] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920460] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920461] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920462] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920463] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920464] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920465] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920466] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920467] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920468] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920469] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920470] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920471] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920472] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920473] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920474] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920475] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920476] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920477] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920478] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920479] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920480] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920481] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.021]	[Dziekan] [PID: 920335] Kandydat [PID: 920482] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920483] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920484] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920485] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920486] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920487] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920488] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920489] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920490] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920491] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920492] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920493] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920494] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920495] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920496] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920497] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.022]	[Dziekan] [PID: 920335] Kandydat [PID: 920498] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920499] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920500] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920501] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920502] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920503] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920504] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920505] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920506] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920507] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920508] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920509] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920510] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920511] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920512] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
[Czas: 16:24:02.023]	[Dziekan] [PID: 920335] Kandydat [PID: 920513] skierowany do komisji A [PID: 920336] |	 Kandydat zdał teorię wcześniej
