[Czas: 17:14:23.491]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 17:14:24.728]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022709] treść nr: 45
[Czas: 17:14:24.791]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022718] treść nr: 21
[Czas: 17:14:24.791]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022718] treść nr: 32
[Czas: 17:14:24.791]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022718] treść nr: 45
[Czas: 17:14:24.791]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022718] treść nr: 26
[Czas: 17:14:24.792]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Ocenił kandydata [PID: 1022718] |	 Wynik cząstkowy: 37
[Czas: 17:14:24.792]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022718] |	 Wynik cząstkowy: 15
[Czas: 17:14:24.792]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Ocenił kandydata [PID: 1022718] |	 Wynik cząstkowy: 60
[Czas: 17:14:24.792]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022718] |	 Wynik cząstkowy: 99
[Czas: 17:14:24.792]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022718] |	 Wynik cząstkowy: 82
[Czas: 17:14:24.792]	[Komisja A] [PID: 1022707] |	 Kandydat [PID: 1022718] |	 ZDAŁ A (-> B) |	 Wynik: 58.60 pkt
[Czas: 17:14:24.792]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022720] treść nr: 1
[Czas: 17:14:24.792]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022720] treść nr: 46
[Czas: 17:14:24.792]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022720] treść nr: 17
[Czas: 17:14:24.792]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022720] treść nr: 6
[Czas: 17:14:24.792]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022720] treść nr: 3
[Czas: 17:14:24.793]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022720] |	 Wynik cząstkowy: 77
[Czas: 17:14:24.793]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Ocenił kandydata [PID: 1022720] |	 Wynik cząstkowy: 29
[Czas: 17:14:24.793]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Ocenił kandydata [PID: 1022720] |	 Wynik cząstkowy: 34
[Czas: 17:14:24.793]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022720] |	 Wynik cząstkowy: 80
[Czas: 17:14:24.793]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022720] |	 Wynik cząstkowy: 56
[Czas: 17:14:24.793]	[Komisja A] [PID: 1022707] |	 Kandydat [PID: 1022720] |	 ZDAŁ A (-> B) |	 Wynik: 55.20 pkt
[Czas: 17:14:24.793]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022721] treść nr: 19
[Czas: 17:14:24.793]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022721] treść nr: 8
[Czas: 17:14:24.793]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022721] treść nr: 28
[Czas: 17:14:24.793]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022721] treść nr: 36
[Czas: 17:14:24.793]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022721] treść nr: 6
[Czas: 17:14:24.794]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022721] |	 Wynik cząstkowy: 47
[Czas: 17:14:24.794]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022721] |	 Wynik cząstkowy: 48
[Czas: 17:14:24.794]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Ocenił kandydata [PID: 1022721] |	 Wynik cząstkowy: 61
[Czas: 17:14:24.794]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Ocenił kandydata [PID: 1022721] |	 Wynik cząstkowy: 75
[Czas: 17:14:24.794]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022721] |	 Wynik cząstkowy: 85
[Czas: 17:14:24.794]	[Komisja A] [PID: 1022707] |	 Kandydat [PID: 1022721] |	 ZDAŁ A (-> B) |	 Wynik: 63.20 pkt
[Czas: 17:14:24.794]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022722] treść nr: 43
[Czas: 17:14:24.794]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022722] treść nr: 17
[Czas: 17:14:24.794]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022722] treść nr: 9
[Czas: 17:14:24.794]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022722] treść nr: 26
[Czas: 17:14:24.794]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022722] treść nr: 13
[Czas: 17:14:24.795]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022722] |	 Wynik cząstkowy: 50
[Czas: 17:14:24.795]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022722] |	 Wynik cząstkowy: 48
[Czas: 17:14:24.795]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Ocenił kandydata [PID: 1022722] |	 Wynik cząstkowy: 31
[Czas: 17:14:24.795]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022722] |	 Wynik cząstkowy: 84
[Czas: 17:14:24.795]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Ocenił kandydata [PID: 1022722] |	 Wynik cząstkowy: 42
[Czas: 17:14:24.795]	[Komisja A] [PID: 1022707] |	 Kandydat [PID: 1022722] |	 ZDAŁ A (-> B) |	 Wynik: 51.00 pkt
[Czas: 17:14:24.795]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022723] treść nr: 33
[Czas: 17:14:24.795]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022723] treść nr: 28
[Czas: 17:14:24.795]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022723] treść nr: 36
[Czas: 17:14:24.795]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022723] treść nr: 2
[Czas: 17:14:24.795]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022723] treść nr: 38
[Czas: 17:14:24.842]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Ocenił kandydata [PID: 1022723] |	 Wynik cząstkowy: 91
[Czas: 17:14:24.842]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022723] |	 Wynik cząstkowy: 55
[Czas: 17:14:24.842]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022723] |	 Wynik cząstkowy: 90
[Czas: 17:14:24.842]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022723] |	 Wynik cząstkowy: 34
[Czas: 17:14:24.842]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Ocenił kandydata [PID: 1022723] |	 Wynik cząstkowy: 85
[Czas: 17:14:24.843]	[Komisja A] [PID: 1022707] |	 Kandydat [PID: 1022723] |	 ZDAŁ A (-> B) |	 Wynik: 71.00 pkt
[Czas: 17:14:24.843]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022724] treść nr: 37
[Czas: 17:14:24.843]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022724] treść nr: 31
[Czas: 17:14:24.843]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022724] treść nr: 5
[Czas: 17:14:24.843]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022724] treść nr: 24
[Czas: 17:14:24.843]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022724] treść nr: 38
[Czas: 17:14:24.844]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Ocenił kandydata [PID: 1022724] |	 Wynik cząstkowy: 19
[Czas: 17:14:24.844]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Ocenił kandydata [PID: 1022724] |	 Wynik cząstkowy: 69
[Czas: 17:14:24.844]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022724] |	 Wynik cząstkowy: 22
[Czas: 17:14:24.844]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022724] |	 Wynik cząstkowy: 3
[Czas: 17:14:24.844]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022724] |	 Wynik cząstkowy: 41
[Czas: 17:14:24.844]	[Komisja A] [PID: 1022707] |	 Kandydat [PID: 1022724] |	 ZDAŁ A (-> B) |	 Wynik: 30.80 pkt
[Czas: 17:14:24.844]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022725] treść nr: 3
[Czas: 17:14:24.844]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022725] treść nr: 15
[Czas: 17:14:24.844]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022725] treść nr: 30
[Czas: 17:14:24.844]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022725] treść nr: 27
[Czas: 17:14:24.845]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022725] treść nr: 17
[Czas: 17:14:24.845]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022725] |	 Wynik cząstkowy: 62
[Czas: 17:14:24.845]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022725] |	 Wynik cząstkowy: 44
[Czas: 17:14:24.845]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Ocenił kandydata [PID: 1022725] |	 Wynik cząstkowy: 6
[Czas: 17:14:24.845]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Ocenił kandydata [PID: 1022725] |	 Wynik cząstkowy: 86
[Czas: 17:14:24.845]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022725] |	 Wynik cząstkowy: 16
[Czas: 17:14:24.845]	[Komisja A] [PID: 1022707] |	 Kandydat [PID: 1022725] |	 ZDAŁ A (-> B) |	 Wynik: 42.80 pkt
[Czas: 17:14:24.845]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022726] treść nr: 20
[Czas: 17:14:24.845]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022726] treść nr: 43
[Czas: 17:14:24.845]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022726] treść nr: 2
[Czas: 17:14:24.846]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022726] treść nr: 5
[Czas: 17:14:24.846]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022726] treść nr: 33
[Czas: 17:14:24.846]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Ocenił kandydata [PID: 1022726] |	 Wynik cząstkowy: 73
[Czas: 17:14:24.846]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022726] |	 Wynik cząstkowy: 74
[Czas: 17:14:24.846]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022726] |	 Wynik cząstkowy: 74
[Czas: 17:14:24.846]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Ocenił kandydata [PID: 1022726] |	 Wynik cząstkowy: 23
[Czas: 17:14:24.846]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022726] |	 Wynik cząstkowy: 73
[Czas: 17:14:24.846]	[Komisja A] [PID: 1022707] |	 Kandydat [PID: 1022726] |	 ZDAŁ A (-> B) |	 Wynik: 63.40 pkt
[Czas: 17:14:24.846]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022727] treść nr: 40
[Czas: 17:14:24.846]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022727] treść nr: 11
[Czas: 17:14:24.846]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022727] treść nr: 1
[Czas: 17:14:24.846]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022727] treść nr: 15
[Czas: 17:14:24.847]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022727] treść nr: 49
[Czas: 17:14:24.847]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Ocenił kandydata [PID: 1022727] |	 Wynik cząstkowy: 87
[Czas: 17:14:24.847]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022727] |	 Wynik cząstkowy: 56
[Czas: 17:14:24.847]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022727] |	 Wynik cząstkowy: 41
[Czas: 17:14:24.847]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Ocenił kandydata [PID: 1022727] |	 Wynik cząstkowy: 77
[Czas: 17:14:24.847]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022727] |	 Wynik cząstkowy: 32
[Czas: 17:14:24.847]	[Komisja A] [PID: 1022707] |	 Kandydat [PID: 1022727] |	 ZDAŁ A (-> B) |	 Wynik: 58.60 pkt
[Czas: 17:14:24.847]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022728] treść nr: 15
[Czas: 17:14:24.847]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022728] treść nr: 5
[Czas: 17:14:24.847]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022728] treść nr: 3
[Czas: 17:14:24.847]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022728] treść nr: 44
[Czas: 17:14:24.847]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022728] treść nr: 33
[Czas: 17:14:24.848]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Ocenił kandydata [PID: 1022728] |	 Wynik cząstkowy: 17
[Czas: 17:14:24.848]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022728] |	 Wynik cząstkowy: 62
[Czas: 17:14:24.848]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022728] |	 Wynik cząstkowy: 61
[Czas: 17:14:24.848]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Ocenił kandydata [PID: 1022728] |	 Wynik cząstkowy: 79
[Czas: 17:14:24.848]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022728] |	 Wynik cząstkowy: 63
[Czas: 17:14:24.848]	[Komisja A] [PID: 1022707] |	 Kandydat [PID: 1022728] |	 ZDAŁ A (-> B) |	 Wynik: 56.40 pkt
[Czas: 17:14:24.848]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Zadał kandydatowi [PID: 1022729] treść nr: 2
[Czas: 17:14:24.848]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 1022714] [ID: 4] |	 Zadał kandydatowi [PID: 1022729] treść nr: 33
[Czas: 17:14:24.848]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Zadał kandydatowi [PID: 1022729] treść nr: 14
[Czas: 17:14:24.848]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Zadał kandydatowi [PID: 1022729] treść nr: 5
[Czas: 17:14:24.848]	[Komisja A] [PID: 1022707] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 1022713] [ID: 3] |	 Zadał kandydatowi [PID: 1022729] treść nr: 37
[Czas: 17:14:24.849]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022712] [ID: 2] |	 Ocenił kandydata [PID: 1022729] |	 Wynik cząstkowy: 33
[Czas: 17:14:24.849]	[Komisja A] [PID: 1022707] |	 Egzaminator [P] [TID: 1022710] [ID: 0] |	 Ocenił kandydata [PID: 1022729] |	 Wynik cząstkowy: 96
[Czas: 17:14:24.849]	[Komisja A] [PID: 1022707] |	 Egzaminator [C] [TID: 1022711] [ID: 1] |	 Ocenił kandydata [PID: 1022729] |	 Wynik cząstkowy: 33
