[Czas: 15:56:41.370]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 15:56:44.472]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 908996] treść nr: 29
[Czas: 15:56:44.518]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909005] treść nr: 28
[Czas: 15:56:44.518]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909005] treść nr: 7
[Czas: 15:56:44.805]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909005] |	 Wynik cząstkowy: 74
[Czas: 15:56:44.805]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909005] |	 Wynik cząstkowy: 69
[Czas: 15:56:44.805]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909005] |	 Wynik cząstkowy: 44
[Czas: 15:56:44.805]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909005] |	 Wynik cząstkowy: 25
[Czas: 15:56:44.805]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909005] |	 Wynik cząstkowy: 74
[Czas: 15:56:44.806]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909005] |	 ZDAŁ A (-> B) |	 Wynik: 57.20 pkt
[Czas: 15:56:44.806]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909006] treść nr: 14
[Czas: 15:56:44.807]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909006] treść nr: 18
[Czas: 15:56:44.807]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909006] treść nr: 46
[Czas: 15:56:44.807]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909006] treść nr: 33
[Czas: 15:56:44.807]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909006] treść nr: 39
[Czas: 15:56:44.808]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909006] |	 Wynik cząstkowy: 60
[Czas: 15:56:44.808]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909006] |	 Wynik cząstkowy: 2
[Czas: 15:56:44.808]	[Czas: 15:56:44.808]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909006] |	 Wynik cząstkowy: 18
[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909006] |	 Wynik cząstkowy: 37
[Czas: 15:56:44.808]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909006] |	 Wynik cząstkowy: 46
[Czas: 15:56:44.808]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909006] |	 ZDAŁ A (-> B) |	 Wynik: 32.60 pkt
[Czas: 15:56:44.809]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909007] treść nr: 10
[Czas: 15:56:44.809]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909007] treść nr: 32
[Czas: 15:56:44.809]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909007] treść nr: 36
[Czas: 15:56:44.809]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909007] treść nr: 27
[Czas: 15:56:44.809]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909007] treść nr: 33
[Czas: 15:56:44.809]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909007] |	 Wynik cząstkowy: 99
[Czas: 15:56:44.810]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909007] |	 Wynik cząstkowy: 77
[Czas: 15:56:44.810]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909007] |	 Wynik cząstkowy: 36
[Czas: 15:56:44.810]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909007] |	 Wynik cząstkowy: 72
[Czas: 15:56:44.810]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909007] |	 Wynik cząstkowy: 12
[Czas: 15:56:44.810]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909007] |	 ZDAŁ A (-> B) |	 Wynik: 59.20 pkt
[Czas: 15:56:44.810]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909008] treść nr: 34
[Czas: 15:56:44.810]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909008] treść nr: 24
[Czas: 15:56:44.811]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909008] treść nr: 7
[Czas: 15:56:44.811]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909008] treść nr: 13
[Czas: 15:56:44.811]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909008] treść nr: 33
[Czas: 15:56:44.811]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909008] |	 Wynik cząstkowy: 97
[Czas: 15:56:44.811]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909008] |	 Wynik cząstkowy: 23
[Czas: 15:56:44.812]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909008] |	 Wynik cząstkowy: 12
[Czas: 15:56:44.812]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909008] |	 Wynik cząstkowy: 70
[Czas: 15:56:44.812]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909008] |	 Wynik cząstkowy: 67
[Czas: 15:56:44.812]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909008] |	 ZDAŁ A (-> B) |	 Wynik: 53.80 pkt
[Czas: 15:56:44.812]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909009] treść nr: 4
[Czas: 15:56:44.812]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909009] treść nr: 32
[Czas: 15:56:44.812]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909009] treść nr: 3
[Czas: 15:56:44.812]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909009] treść nr: 49
[Czas: 15:56:44.813]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909009] treść nr: 16
[Czas: 15:56:44.813]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909009] |	 Wynik cząstkowy: 33
[Czas: 15:56:44.813]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909009] |	 Wynik cząstkowy: 79
[Czas: 15:56:44.813]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909009] |	 Wynik cząstkowy: 97
[Czas: 15:56:44.813]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909009] |	 Wynik cząstkowy: 65
[Czas: 15:56:44.813]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909009] |	 Wynik cząstkowy: 81
[Czas: 15:56:44.814]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909009] |	 ZDAŁ A (-> B) |	 Wynik: 71.00 pkt
[Czas: 15:56:44.814]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909010] treść nr: 34
[Czas: 15:56:44.814]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909010] treść nr: 36
[Czas: 15:56:44.815]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909010] treść nr: 9
[Czas: 15:56:44.815]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909010] treść nr: 21
[Czas: 15:56:44.815]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909010] treść nr: 14
[Czas: 15:56:44.815]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909010] |	 Wynik cząstkowy: 38
[Czas: 15:56:44.815]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909010] |	 Wynik cząstkowy: 25
[Czas: 15:56:44.815]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909010] |	 Wynik cząstkowy: 74
[Czas: 15:56:44.815]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909010] |	 Wynik cząstkowy: 16
[Czas: 15:56:44.815]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909010] |	 Wynik cząstkowy: 27
[Czas: 15:56:44.816]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909010] |	 ZDAŁ A (-> B) |	 Wynik: 36.00 pkt
[Czas: 15:56:44.816]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909011] treść nr: 43
[Czas: 15:56:44.816]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909011] treść nr: 26
[Czas: 15:56:44.817]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909011] treść nr: 12
[Czas: 15:56:44.817]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909011] treść nr: 49
[Czas: 15:56:44.817]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909011] treść nr: 41
[Czas: 15:56:44.817]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909011] |	 Wynik cząstkowy: 86
[Czas: 15:56:44.817]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909011] |	 Wynik cząstkowy: 16
[Czas: 15:56:44.817]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909011] |	 Wynik cząstkowy: 54
[Czas: 15:56:44.817]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909011] |	 Wynik cząstkowy: 98
[Czas: 15:56:44.817]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909011] |	 Wynik cząstkowy: 90
[Czas: 15:56:44.820]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909011] |	 ZDAŁ A (-> B) |	 Wynik: 68.80 pkt
[Czas: 15:56:44.820]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909012] treść nr: 36
[Czas: 15:56:44.820]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909012] treść nr: 10
[Czas: 15:56:44.820]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909012] treść nr: 15
[Czas: 15:56:44.823]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909012] treść nr: 41
[Czas: 15:56:44.823]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909012] treść nr: 30
[Czas: 15:56:44.823]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909012] |	 Wynik cząstkowy: 48
[Czas: 15:56:44.823]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909012] |	 Wynik cząstkowy: 93
[Czas: 15:56:44.823]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909012] |	 Wynik cząstkowy: 59
[Czas: 15:56:44.823]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909012] |	 Wynik cząstkowy: 7
[Czas: 15:56:44.823]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909012] |	 Wynik cząstkowy: 43
[Czas: 15:56:44.823]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909012] |	 ZDAŁ A (-> B) |	 Wynik: 50.00 pkt
[Czas: 15:56:44.824]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909013] treść nr: 6
[Czas: 15:56:44.824]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909013] treść nr: 47
[Czas: 15:56:44.824]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909013] treść nr: 5
[Czas: 15:56:44.824]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909013] treść nr: 28
[Czas: 15:56:44.824]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909013] treść nr: 10
[Czas: 15:56:44.825]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909013] |	 Wynik cząstkowy: 47
[Czas: 15:56:44.825]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909013] |	 Wynik cząstkowy: 64
[Czas: 15:56:44.825]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909013] |	 Wynik cząstkowy: 35
[Czas: 15:56:44.825]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909013] |	 Wynik cząstkowy: 42
[Czas: 15:56:44.825]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909013] |	 Wynik cząstkowy: 73
[Czas: 15:56:44.825]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909013] |	 ZDAŁ A (-> B) |	 Wynik: 52.20 pkt
[Czas: 15:56:44.831]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909014] treść nr: 49
[Czas: 15:56:44.832]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909014] treść nr: 17
[Czas: 15:56:44.832]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909014] treść nr: 21
[Czas: 15:56:44.832]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909014] treść nr: 47
[Czas: 15:56:44.832]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909014] treść nr: 7
[Czas: 15:56:44.833]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909014] |	 Wynik cząstkowy: 49
[Czas: 15:56:44.833]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909014] |	 Wynik cząstkowy: 86
[Czas: 15:56:44.833]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909014] |	 Wynik cząstkowy: 49
[Czas: 15:56:44.833]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909014] |	 Wynik cząstkowy: 62
[Czas: 15:56:44.833]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909014] |	 Wynik cząstkowy: 17
[Czas: 15:56:44.833]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909014] |	 ZDAŁ A (-> B) |	 Wynik: 52.60 pkt
[Czas: 15:56:44.834]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909015] treść nr: 43
[Czas: 15:56:44.834]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909015] treść nr: 34
[Czas: 15:56:44.834]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909015] treść nr: 13
[Czas: 15:56:44.835]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909015] treść nr: 35
[Czas: 15:56:44.835]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909015] treść nr: 44
[Czas: 15:56:44.835]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909015] |	 Wynik cząstkowy: 55
[Czas: 15:56:44.835]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909015] |	 Wynik cząstkowy: 52
[Czas: 15:56:44.835]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909015] |	 Wynik cząstkowy: 91
[Czas: 15:56:44.835]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909015] |	 Wynik cząstkowy: 94
[Czas: 15:56:44.835]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909015] |	 Wynik cząstkowy: 82
[Czas: 15:56:44.836]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909015] |	 ZDAŁ A (-> B) |	 Wynik: 74.80 pkt
[Czas: 15:56:44.836]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909016] treść nr: 24
[Czas: 15:56:44.837]	[Komisja A] [PID: 908994] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Zadał kandydatowi [PID: 909016] treść nr: 29
[Czas: 15:56:44.837]	[Komisja A] [PID: 908994] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Zadał kandydatowi [PID: 909016] treść nr: 14
[Czas: 15:56:44.837]	[Komisja A] [PID: 908994] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Zadał kandydatowi [PID: 909016] treść nr: 4
[Czas: 15:56:44.837]	[Komisja A] [PID: 908994] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Zadał kandydatowi [PID: 909016] treść nr: 38
[Czas: 15:56:44.838]	[Komisja A] [PID: 908994] |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Ocenił kandydata [PID: 909016] |	 Wynik cząstkowy: 25
[Czas: 15:56:44.838]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909003] [ID: 3] |	 Ocenił kandydata [PID: 909016] |	 Wynik cząstkowy: 71
[Czas: 15:56:44.838]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 908999] [ID: 1] |	 Ocenił kandydata [PID: 909016] |	 Wynik cząstkowy: 5
[Czas: 15:56:44.838]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909004] [ID: 4] |	 Ocenił kandydata [PID: 909016] |	 Wynik cząstkowy: 74
[Czas: 15:56:44.838]	[Komisja A] [PID: 908994] |	 Egzaminator [C] [TID: 909001] [ID: 2] |	 Ocenił kandydata [PID: 909016] |	 Wynik cząstkowy: 44
[Czas: 15:56:44.839]	[Komisja A] [PID: 908994] |	 Kandydat [PID: 909016] |	 ZDAŁ A (-> B) |	 Wynik: 43.80 pkt
[Czas: 15:56:44.840]	[Komisja A] [PID: 908994] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 908997] [ID: 0] |	 Zadał kandydatowi [PID: 909017] treść nr: 44
