[Czas: 15:53:25.727]	[Komisja A] [P] Przewodniczący 0 w komisji A: Rozpoczynam pracę.
[Czas: 15:53:28.026]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892426] treść nr: 34
[Czas: 15:53:28.260]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892434] treść nr: 43
[Czas: 15:53:28.260]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892434] treść nr: 4
[Czas: 15:53:28.260]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892434] treść nr: 33
[Czas: 15:53:28.465]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892434] |	 Wynik cząstkowy: 64
[Czas: 15:53:28.465]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892434] |	 Wynik cząstkowy: 48
[Czas: 15:53:28.465]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892434] |	 Wynik cząstkowy: 9
[Czas: 15:53:28.465]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892434] |	 Wynik cząstkowy: 62
[Czas: 15:53:28.465]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892434] |	 Wynik cząstkowy: 94
[Czas: 15:53:28.466]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892434] |	 ZDAŁ A (-> B) |	 Wynik: 55.40 pkt
[Czas: 15:53:28.467]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892436] treść nr: 18
[Czas: 15:53:28.467]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892436] treść nr: 8
[Czas: 15:53:28.467]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892436] treść nr: 10
[Czas: 15:53:28.467]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892436] treść nr: 46
[Czas: 15:53:28.468]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892436] treść nr: 28
[Czas: 15:53:28.669]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892436] |	 Wynik cząstkowy: 10
[Czas: 15:53:28.669]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892436] |	 Wynik cząstkowy: 69
[Czas: 15:53:28.669]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892436] |	 Wynik cząstkowy: 48
[Czas: 15:53:28.669]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892436] |	 Wynik cząstkowy: 9
[Czas: 15:53:28.669]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892436] |	 Wynik cząstkowy: 83
[Czas: 15:53:28.670]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892436] |	 ZDAŁ A (-> B) |	 Wynik: 43.80 pkt
[Czas: 15:53:28.670]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892439] treść nr: 4
[Czas: 15:53:28.671]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892439] treść nr: 41
[Czas: 15:53:28.671]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892439] treść nr: 16
[Czas: 15:53:28.671]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892439] treść nr: 5
[Czas: 15:53:28.671]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892439] treść nr: 24
[Czas: 15:53:28.876]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892439] |	 Wynik cząstkowy: 76
[Czas: 15:53:28.876]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892439] |	 Wynik cząstkowy: 57
[Czas: 15:53:28.876]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892439] |	 Wynik cząstkowy: 4
[Czas: 15:53:28.876]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892439] |	 Wynik cząstkowy: 26
[Czas: 15:53:28.876]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892439] |	 Wynik cząstkowy: 59
[Czas: 15:53:28.877]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892439] |	 ZDAŁ A (-> B) |	 Wynik: 44.40 pkt
[Czas: 15:53:28.878]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892440] treść nr: 41
[Czas: 15:53:28.878]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892440] treść nr: 2
[Czas: 15:53:28.878]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892440] treść nr: 1
[Czas: 15:53:28.878]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892440] treść nr: 44
[Czas: 15:53:28.878]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892440] treść nr: 5
[Czas: 15:53:29.079]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892440] |	 Wynik cząstkowy: 10
[Czas: 15:53:29.079]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892440] |	 Wynik cząstkowy: 41
[Czas: 15:53:29.079]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892440] |	 Wynik cząstkowy: 18
[Czas: 15:53:29.079]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892440] |	 Wynik cząstkowy: 43
[Czas: 15:53:29.079]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892440] |	 Wynik cząstkowy: 27
[Czas: 15:53:29.080]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892440] |	 OBLAŁ A (Koniec) |	 Wynik: 27.80 pkt
[Czas: 15:53:29.080]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892441] treść nr: 10
[Czas: 15:53:29.081]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892441] treść nr: 34
[Czas: 15:53:29.081]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892441] treść nr: 49
[Czas: 15:53:29.081]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892441] treść nr: 20
[Czas: 15:53:29.081]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892441] treść nr: 30
[Czas: 15:53:29.292]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892441] |	 Wynik cząstkowy: 68
[Czas: 15:53:29.292]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892441] |	 Wynik cząstkowy: 30
[Czas: 15:53:29.292]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892441] |	 Wynik cząstkowy: 78
[Czas: 15:53:29.292]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892441] |	 Wynik cząstkowy: 96
[Czas: 15:53:29.292]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892441] |	 Wynik cząstkowy: 1
[Czas: 15:53:29.292]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892441] |	 ZDAŁ A (-> B) |	 Wynik: 54.60 pkt
[Czas: 15:53:29.293]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892442] treść nr: 30
[Czas: 15:53:29.293]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892442] treść nr: 3
[Czas: 15:53:29.293]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892442] treść nr: 18
[Czas: 15:53:29.293]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892442] treść nr: 45
[Czas: 15:53:29.293]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892442] treść nr: 8
[Czas: 15:53:29.508]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892442] |	 Wynik cząstkowy: 73
[Czas: 15:53:29.508]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892442] |	 Wynik cząstkowy: 38
[Czas: 15:53:29.508]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892442] |	 Wynik cząstkowy: 29
[Czas: 15:53:29.508]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892442] |	 Wynik cząstkowy: 45
[Czas: 15:53:29.508]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892442] |	 Wynik cząstkowy: 43
[Czas: 15:53:29.509]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892442] |	 ZDAŁ A (-> B) |	 Wynik: 45.60 pkt
[Czas: 15:53:29.509]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892443] treść nr: 41
[Czas: 15:53:29.510]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892443] treść nr: 10
[Czas: 15:53:29.510]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892443] treść nr: 17
[Czas: 15:53:29.510]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892443] treść nr: 3
[Czas: 15:53:29.510]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892443] treść nr: 22
[Czas: 15:53:32.084]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892443] |	 Wynik cząstkowy: 79
[Czas: 15:53:32.084]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892443] |	 Wynik cząstkowy: 19
[Czas: 15:53:32.084]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892443] |	 Wynik cząstkowy: 48
[Czas: 15:53:32.084]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892443] |	 Wynik cząstkowy: 76
[Czas: 15:53:32.084]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892443] |	 Wynik cząstkowy: 71
[Czas: 15:53:32.084]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892443] |	 ZDAŁ A (-> B) |	 Wynik: 58.60 pkt
[Czas: 15:53:32.085]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892444] treść nr: 19
[Czas: 15:53:32.085]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892444] treść nr: 25
[Czas: 15:53:32.085]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892444] treść nr: 18
[Czas: 15:53:32.085]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892444] treść nr: 40
[Czas: 15:53:32.086]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892444] treść nr: 6
[Czas: 15:53:32.288]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892444] |	 Wynik cząstkowy: 11
[Czas: 15:53:32.288]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892444] |	 Wynik cząstkowy: 23
[Czas: 15:53:32.288]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892444] |	 Wynik cząstkowy: 34
[Czas: 15:53:32.288]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892444] |	 Wynik cząstkowy: 53
[Czas: 15:53:32.288]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892444] |	 Wynik cząstkowy: 5
[Czas: 15:53:32.288]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892444] |	 OBLAŁ A (Koniec) |	 Wynik: 25.20 pkt
[Czas: 15:53:32.289]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892445] treść nr: 3
[Czas: 15:53:32.289]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892445] treść nr: 44
[Czas: 15:53:32.289]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892445] treść nr: 5
[Czas: 15:53:32.289]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892445] treść nr: 50
[Czas: 15:53:32.290]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892445] treść nr: 45
[Czas: 15:53:32.491]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892445] |	 Wynik cząstkowy: 6
[Czas: 15:53:32.491]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892445] |	 Wynik cząstkowy: 44
[Czas: 15:53:32.491]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892445] |	 Wynik cząstkowy: 90
[Czas: 15:53:32.491]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892445] |	 Wynik cząstkowy: 44
[Czas: 15:53:32.491]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892445] |	 Wynik cząstkowy: 74
[Czas: 15:53:32.492]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892445] |	 ZDAŁ A (-> B) |	 Wynik: 51.60 pkt
[Czas: 15:53:32.493]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892446] treść nr: 24
[Czas: 15:53:32.493]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892446] treść nr: 25
[Czas: 15:53:32.493]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892446] treść nr: 19
[Czas: 15:53:32.493]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892446] treść nr: 29
[Czas: 15:53:32.494]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892446] treść nr: 48
[Czas: 15:53:32.709]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892446] |	 Wynik cząstkowy: 21
[Czas: 15:53:32.709]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892446] |	 Wynik cząstkowy: 6
[Czas: 15:53:32.709]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892446] |	 Wynik cząstkowy: 41
[Czas: 15:53:32.709]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892446] |	 Wynik cząstkowy: 69
[Czas: 15:53:32.709]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892446] |	 Wynik cząstkowy: 27
[Czas: 15:53:32.709]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892446] |	 ZDAŁ A (-> B) |	 Wynik: 32.80 pkt
[Czas: 15:53:32.710]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892447] treść nr: 24
[Czas: 15:53:32.710]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892447] treść nr: 14
[Czas: 15:53:32.710]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892447] treść nr: 49
[Czas: 15:53:32.710]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892447] treść nr: 15
[Czas: 15:53:32.711]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892447] treść nr: 19
[Czas: 15:53:32.912]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892447] |	 Wynik cząstkowy: 19
[Czas: 15:53:32.912]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892447] |	 Wynik cząstkowy: 94
[Czas: 15:53:32.912]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892447] |	 Wynik cząstkowy: 15
[Czas: 15:53:32.912]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892447] |	 Wynik cząstkowy: 34
[Czas: 15:53:32.912]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892447] |	 Wynik cząstkowy: 38
[Czas: 15:53:32.913]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892447] |	 ZDAŁ A (-> B) |	 Wynik: 40.00 pkt
[Czas: 15:53:32.913]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892448] treść nr: 49
[Czas: 15:53:32.913]	[Komisja A] [PID: 892424] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Zadał kandydatowi [PID: 892448] treść nr: 32
[Czas: 15:53:32.914]	[Komisja A] [PID: 892424] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Zadał kandydatowi [PID: 892448] treść nr: 15
[Czas: 15:53:32.914]	[Komisja A] [PID: 892424] |	 Pytanie nr: 4 |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Zadał kandydatowi [PID: 892448] treść nr: 48
[Czas: 15:53:32.914]	[Komisja A] [PID: 892424] |	 Pytanie nr: 5 |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Zadał kandydatowi [PID: 892448] treść nr: 34
[Czas: 15:53:33.119]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892432] [ID: 3] |	 Ocenił kandydata [PID: 892448] |	 Wynik cząstkowy: 16
[Czas: 15:53:33.119]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892428] [ID: 1] |	 Ocenił kandydata [PID: 892448] |	 Wynik cząstkowy: 100
[Czas: 15:53:33.119]	[Komisja A] [PID: 892424] |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Ocenił kandydata [PID: 892448] |	 Wynik cząstkowy: 5
[Czas: 15:53:33.119]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892433] [ID: 4] |	 Ocenił kandydata [PID: 892448] |	 Wynik cząstkowy: 26
[Czas: 15:53:33.119]	[Komisja A] [PID: 892424] |	 Egzaminator [C] [TID: 892430] [ID: 2] |	 Ocenił kandydata [PID: 892448] |	 Wynik cząstkowy: 55
[Czas: 15:53:33.120]	[Komisja A] [PID: 892424] |	 Kandydat [PID: 892448] |	 ZDAŁ A (-> B) |	 Wynik: 40.40 pkt
[Czas: 15:53:33.120]	[Komisja A] [PID: 892424] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 892427] [ID: 0] |	 Zadał kandydatowi [PID: 892449] treść nr: 49
