[Czas: 15:27:16.177]	[Komisja B] [P] Przewodniczący 0 w komisji B: Rozpoczynam pracę.
[Czas: 15:27:22.489]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767349] treść nr: 37
[Czas: 15:27:22.668]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767360] |	 Wynik cząstkowy: 86
[Czas: 15:27:22.668]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767360] |	 ZDAŁ B |	 Wynik: 71.67 pkt
[Czas: 15:27:22.669]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767361] treść nr: 7
[Czas: 15:27:22.669]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767361] treść nr: 6
[Czas: 15:27:22.670]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767361] treść nr: 5
[Czas: 15:27:22.670]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767361] |	 Wynik cząstkowy: 68
[Czas: 15:27:22.670]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767361] |	 Wynik cząstkowy: 68
[Czas: 15:27:22.670]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767361] |	 Wynik cząstkowy: 88
[Czas: 15:27:22.671]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767361] |	 ZDAŁ B |	 Wynik: 74.67 pkt
[Czas: 15:27:22.672]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767362] treść nr: 21
[Czas: 15:27:22.672]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767362] treść nr: 43
[Czas: 15:27:22.673]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767362] treść nr: 28
[Czas: 15:27:22.673]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767362] |	 Wynik cząstkowy: 51
[Czas: 15:27:22.673]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767362] |	 Wynik cząstkowy: 29
[Czas: 15:27:22.673]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767362] |	 Wynik cząstkowy: 71
[Czas: 15:27:22.674]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767362] |	 ZDAŁ B |	 Wynik: 50.33 pkt
[Czas: 15:27:22.674]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767363] treść nr: 21
[Czas: 15:27:22.675]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767363] treść nr: 19
[Czas: 15:27:22.675]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767363] treść nr: 32
[Czas: 15:27:22.675]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767363] |	 Wynik cząstkowy: 13
[Czas: 15:27:22.675]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767363] |	 Wynik cząstkowy: 4
[Czas: 15:27:22.675]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767363] |	 Wynik cząstkowy: 80
[Czas: 15:27:22.676]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767363] |	 ZDAŁ B |	 Wynik: 32.33 pkt
[Czas: 15:27:22.677]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767364] treść nr: 48
[Czas: 15:27:22.677]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767364] treść nr: 28
[Czas: 15:27:22.678]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767364] treść nr: 5
[Czas: 15:27:22.678]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767364] |	 Wynik cząstkowy: 14
[Czas: 15:27:22.678]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767364] |	 Wynik cząstkowy: 31
[Czas: 15:27:22.678]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767364] |	 Wynik cząstkowy: 33
[Czas: 15:27:22.678]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767364] |	 OBLAŁ B |	 Wynik: 26.00 pkt
[Czas: 15:27:22.680]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767365] treść nr: 9
[Czas: 15:27:22.680]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767365] treść nr: 26
[Czas: 15:27:22.680]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767365] treść nr: 17
[Czas: 15:27:22.681]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767365] |	 Wynik cząstkowy: 52
[Czas: 15:27:22.681]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767365] |	 Wynik cząstkowy: 53
[Czas: 15:27:22.681]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767365] |	 Wynik cząstkowy: 37
[Czas: 15:27:22.681]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767365] |	 ZDAŁ B |	 Wynik: 47.33 pkt
[Czas: 15:27:22.682]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767366] treść nr: 33
[Czas: 15:27:22.682]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767366] treść nr: 39
[Czas: 15:27:22.683]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767366] treść nr: 44
[Czas: 15:27:22.683]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767366] |	 Wynik cząstkowy: 86
[Czas: 15:27:22.683]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767366] |	 Wynik cząstkowy: 43
[Czas: 15:27:22.683]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767366] |	 Wynik cząstkowy: 22
[Czas: 15:27:22.685]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767366] |	 ZDAŁ B |	 Wynik: 50.33 pkt
[Czas: 15:27:22.686]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767367] treść nr: 50
[Czas: 15:27:22.686]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767367] treść nr: 32
[Czas: 15:27:22.686]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767367] treść nr: 6
[Czas: 15:27:22.687]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767367] |	 Wynik cząstkowy: 6
[Czas: 15:27:22.687]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767367] |	 Wynik cząstkowy: 4
[Czas: 15:27:22.687]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767367] |	 Wynik cząstkowy: 26
[Czas: 15:27:22.687]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767367] |	 OBLAŁ B |	 Wynik: 12.00 pkt
[Czas: 15:27:22.689]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767368] treść nr: 17
[Czas: 15:27:22.689]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767368] treść nr: 25
[Czas: 15:27:22.689]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767368] treść nr: 8
[Czas: 15:27:22.690]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767368] |	 Wynik cząstkowy: 53
[Czas: 15:27:22.690]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767368] |	 Wynik cząstkowy: 97
[Czas: 15:27:22.690]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767368] |	 Wynik cząstkowy: 54
[Czas: 15:27:22.690]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767368] |	 ZDAŁ B |	 Wynik: 68.00 pkt
[Czas: 15:27:22.691]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767369] treść nr: 47
[Czas: 15:27:22.692]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767369] treść nr: 36
[Czas: 15:27:22.692]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767369] treść nr: 41
[Czas: 15:27:22.692]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767369] |	 Wynik cząstkowy: 90
[Czas: 15:27:22.692]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767369] |	 Wynik cząstkowy: 22
[Czas: 15:27:22.692]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767369] |	 Wynik cząstkowy: 69
[Czas: 15:27:22.692]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767369] |	 ZDAŁ B |	 Wynik: 60.33 pkt
[Czas: 15:27:22.694]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767370] treść nr: 38
[Czas: 15:27:22.694]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767370] treść nr: 31
[Czas: 15:27:22.694]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767370] treść nr: 50
[Czas: 15:27:22.694]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767370] |	 Wynik cząstkowy: 18
[Czas: 15:27:22.694]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767370] |	 Wynik cząstkowy: 43
[Czas: 15:27:22.694]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767370] |	 Wynik cząstkowy: 99
[Czas: 15:27:22.695]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767370] |	 ZDAŁ B |	 Wynik: 53.33 pkt
[Czas: 15:27:22.696]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767371] treść nr: 44
[Czas: 15:27:22.696]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767371] treść nr: 32
[Czas: 15:27:22.696]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767371] treść nr: 21
[Czas: 15:27:22.697]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767371] |	 Wynik cząstkowy: 86
[Czas: 15:27:22.697]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767371] |	 Wynik cząstkowy: 52
[Czas: 15:27:22.697]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767371] |	 Wynik cząstkowy: 84
[Czas: 15:27:22.697]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767371] |	 ZDAŁ B |	 Wynik: 74.00 pkt
[Czas: 15:27:22.697]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767372] treść nr: 2
[Czas: 15:27:22.697]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767372] treść nr: 20
[Czas: 15:27:22.698]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767372] treść nr: 14
[Czas: 15:27:22.698]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767372] |	 Wynik cząstkowy: 56
[Czas: 15:27:22.698]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767372] |	 Wynik cząstkowy: 47
[Czas: 15:27:22.698]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767372] |	 Wynik cząstkowy: 75
[Czas: 15:27:22.698]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767372] |	 ZDAŁ B |	 Wynik: 59.33 pkt
[Czas: 15:27:22.699]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767373] treść nr: 46
[Czas: 15:27:22.699]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767373] treść nr: 15
[Czas: 15:27:22.699]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767373] treść nr: 44
[Czas: 15:27:22.699]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767373] |	 Wynik cząstkowy: 35
[Czas: 15:27:22.699]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767373] |	 Wynik cząstkowy: 64
[Czas: 15:27:22.699]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767373] |	 Wynik cząstkowy: 3
[Czas: 15:27:22.700]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767373] |	 ZDAŁ B |	 Wynik: 34.00 pkt
[Czas: 15:27:22.701]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767374] treść nr: 14
[Czas: 15:27:22.702]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767374] treść nr: 11
[Czas: 15:27:22.702]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767374] treść nr: 16
[Czas: 15:27:22.702]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767374] |	 Wynik cząstkowy: 24
[Czas: 15:27:22.702]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767374] |	 Wynik cząstkowy: 64
[Czas: 15:27:22.702]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767374] |	 Wynik cząstkowy: 35
[Czas: 15:27:22.703]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767374] |	 ZDAŁ B |	 Wynik: 41.00 pkt
[Czas: 15:27:22.704]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767375] treść nr: 31
[Czas: 15:27:22.704]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767375] treść nr: 3
[Czas: 15:27:22.704]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767375] treść nr: 21
[Czas: 15:27:22.704]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767375] |	 Wynik cząstkowy: 58
[Czas: 15:27:22.704]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767375] |	 Wynik cząstkowy: 7
[Czas: 15:27:22.704]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767375] |	 Wynik cząstkowy: 92
[Czas: 15:27:22.705]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767375] |	 ZDAŁ B |	 Wynik: 52.33 pkt
[Czas: 15:27:22.709]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767377] treść nr: 13
[Czas: 15:27:22.709]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767377] treść nr: 1
[Czas: 15:27:22.709]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767377] treść nr: 4
[Czas: 15:27:22.710]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767377] |	 Wynik cząstkowy: 16
[Czas: 15:27:22.710]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767377] |	 Wynik cząstkowy: 88
[Czas: 15:27:22.710]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767377] |	 Wynik cząstkowy: 72
[Czas: 15:27:22.710]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767377] |	 ZDAŁ B |	 Wynik: 58.67 pkt
[Czas: 15:27:22.711]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767378] treść nr: 19
[Czas: 15:27:22.712]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767378] treść nr: 40
[Czas: 15:27:22.712]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767378] treść nr: 45
[Czas: 15:27:22.712]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767378] |	 Wynik cząstkowy: 98
[Czas: 15:27:22.712]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767378] |	 Wynik cząstkowy: 10
[Czas: 15:27:22.712]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767378] |	 Wynik cząstkowy: 60
[Czas: 15:27:22.713]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767378] |	 ZDAŁ B |	 Wynik: 56.00 pkt
[Czas: 15:27:22.714]	[Komisja B] [PID: 767348] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Zadał kandydatowi [PID: 767379] treść nr: 1
[Czas: 15:27:22.714]	[Komisja B] [PID: 767348] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Zadał kandydatowi [PID: 767379] treść nr: 44
[Czas: 15:27:22.714]	[Komisja B] [PID: 767348] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Zadał kandydatowi [PID: 767379] treść nr: 10
[Czas: 15:27:22.715]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767353] [ID: 1] |	 Ocenił kandydata [PID: 767379] |	 Wynik cząstkowy: 32
[Czas: 15:27:22.715]	[Komisja B] [PID: 767348] |	 Egzaminator [C] [TID: 767358] [ID: 2] |	 Ocenił kandydata [PID: 767379] |	 Wynik cząstkowy: 86
[Czas: 15:27:22.715]	[Komisja B] [PID: 767348] |	 Egzaminator [P] [TID: 767351] [ID: 0] |	 Ocenił kandydata [PID: 767379] |	 Wynik cząstkowy: 96
[Czas: 15:27:22.715]	[Komisja B] [PID: 767348] |	 Kandydat [PID: 767379] |	 ZDAŁ B |	 Wynik: 71.33 pkt
