[Czas: 15:43:16.381]	[Komisja B] [P] Przewodniczący 0 w komisji B: Rozpoczynam pracę.
[Czas: 15:43:18.945]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889253] treść nr: 2
[Czas: 15:43:19.554]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889256] treść nr: 21
[Czas: 15:43:19.554]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889256] treść nr: 6
[Czas: 15:43:19.554]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889256] treść nr: 22
[Czas: 15:43:19.755]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889256] |	 Wynik cząstkowy: 21
[Czas: 15:43:19.755]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889256] |	 Wynik cząstkowy: 24
[Czas: 15:43:19.755]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889256] |	 Wynik cząstkowy: 18
[Czas: 15:43:19.756]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889256] |	 OBLAŁ B |	 Wynik: 21.00 pkt
[Czas: 15:43:19.768]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889257] treść nr: 24
[Czas: 15:43:19.769]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889257] treść nr: 22
[Czas: 15:43:19.769]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889257] treść nr: 31
[Czas: 15:43:19.971]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889257] |	 Wynik cząstkowy: 20
[Czas: 15:43:19.971]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889257] |	 Wynik cząstkowy: 10
[Czas: 15:43:19.971]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889257] |	 Wynik cząstkowy: 35
[Czas: 15:43:19.971]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889257] |	 OBLAŁ B |	 Wynik: 21.67 pkt
[Czas: 15:43:19.972]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889258] treść nr: 49
[Czas: 15:43:19.973]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889258] treść nr: 39
[Czas: 15:43:19.973]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889258] treść nr: 29
[Czas: 15:43:20.175]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889258] |	 Wynik cząstkowy: 88
[Czas: 15:43:20.175]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889258] |	 Wynik cząstkowy: 55
[Czas: 15:43:20.175]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889258] |	 Wynik cząstkowy: 8
[Czas: 15:43:20.176]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889258] |	 ZDAŁ B |	 Wynik: 50.33 pkt
[Czas: 15:43:20.177]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889259] treść nr: 8
[Czas: 15:43:20.178]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889259] treść nr: 37
[Czas: 15:43:20.178]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889259] treść nr: 9
[Czas: 15:43:20.380]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889259] |	 Wynik cząstkowy: 28
[Czas: 15:43:20.380]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889259] |	 Wynik cząstkowy: 89
[Czas: 15:43:20.380]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889259] |	 Wynik cząstkowy: 53
[Czas: 15:43:20.381]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889259] |	 ZDAŁ B |	 Wynik: 56.67 pkt
[Czas: 15:43:20.387]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889260] treść nr: 41
[Czas: 15:43:20.388]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889260] treść nr: 24
[Czas: 15:43:20.388]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889260] treść nr: 29
[Czas: 15:43:20.597]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889260] |	 Wynik cząstkowy: 33
[Czas: 15:43:20.597]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889260] |	 Wynik cząstkowy: 46
[Czas: 15:43:20.597]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889260] |	 Wynik cząstkowy: 26
[Czas: 15:43:20.598]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889260] |	 ZDAŁ B |	 Wynik: 35.00 pkt
[Czas: 15:43:20.598]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889261] treść nr: 45
[Czas: 15:43:20.599]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889261] treść nr: 19
[Czas: 15:43:20.599]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889261] treść nr: 27
[Czas: 15:43:20.801]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889261] |	 Wynik cząstkowy: 17
[Czas: 15:43:20.801]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889261] |	 Wynik cząstkowy: 22
[Czas: 15:43:20.801]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889261] |	 Wynik cząstkowy: 59
[Czas: 15:43:20.801]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889261] |	 ZDAŁ B |	 Wynik: 32.67 pkt
[Czas: 15:43:20.801]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889262] treść nr: 9
[Czas: 15:43:20.802]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889262] treść nr: 16
[Czas: 15:43:20.802]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889262] treść nr: 38
[Czas: 15:43:21.016]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889262] |	 Wynik cząstkowy: 27
[Czas: 15:43:21.016]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889262] |	 Wynik cząstkowy: 12
[Czas: 15:43:21.016]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889262] |	 Wynik cząstkowy: 74
[Czas: 15:43:21.017]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889262] |	 ZDAŁ B |	 Wynik: 37.67 pkt
[Czas: 15:43:21.017]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889263] treść nr: 8
[Czas: 15:43:21.017]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889263] treść nr: 13
[Czas: 15:43:21.018]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889263] treść nr: 16
[Czas: 15:43:21.219]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889263] |	 Wynik cząstkowy: 84
[Czas: 15:43:21.219]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889263] |	 Wynik cząstkowy: 8
[Czas: 15:43:21.219]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889263] |	 Wynik cząstkowy: 2
[Czas: 15:43:21.219]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889263] |	 ZDAŁ B |	 Wynik: 31.33 pkt
[Czas: 15:43:21.220]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889264] treść nr: 16
[Czas: 15:43:21.220]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889264] treść nr: 12
[Czas: 15:43:21.220]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889264] treść nr: 15
[Czas: 15:43:21.421]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889264] |	 Wynik cząstkowy: 40
[Czas: 15:43:21.421]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889264] |	 Wynik cząstkowy: 40
[Czas: 15:43:21.421]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889264] |	 Wynik cząstkowy: 73
[Czas: 15:43:21.421]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889264] |	 ZDAŁ B |	 Wynik: 51.00 pkt
[Czas: 15:43:21.422]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889265] treść nr: 32
[Czas: 15:43:21.422]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889265] treść nr: 31
[Czas: 15:43:21.422]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889265] treść nr: 1
[Czas: 15:43:21.623]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889265] |	 Wynik cząstkowy: 98
[Czas: 15:43:21.623]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889265] |	 Wynik cząstkowy: 20
[Czas: 15:43:21.623]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889265] |	 Wynik cząstkowy: 76
[Czas: 15:43:21.624]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889265] |	 ZDAŁ B |	 Wynik: 64.67 pkt
[Czas: 15:43:21.624]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889266] treść nr: 36
[Czas: 15:43:21.624]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889266] treść nr: 24
[Czas: 15:43:21.625]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889266] treść nr: 15
[Czas: 15:43:21.827]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889266] |	 Wynik cząstkowy: 55
[Czas: 15:43:21.827]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889266] |	 Wynik cząstkowy: 63
[Czas: 15:43:21.827]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889266] |	 Wynik cząstkowy: 40
[Czas: 15:43:21.828]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889266] |	 ZDAŁ B |	 Wynik: 52.67 pkt
[Czas: 15:43:22.025]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889268] treść nr: 30
[Czas: 15:43:22.025]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889268] treść nr: 2
[Czas: 15:43:22.025]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889268] treść nr: 22
[Czas: 15:43:22.229]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889268] |	 Wynik cząstkowy: 64
[Czas: 15:43:22.229]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889268] |	 Wynik cząstkowy: 91
[Czas: 15:43:22.229]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889268] |	 Wynik cząstkowy: 55
[Czas: 15:43:22.230]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889268] |	 ZDAŁ B |	 Wynik: 70.00 pkt
[Czas: 15:43:22.231]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889269] treść nr: 43
[Czas: 15:43:22.231]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889269] treść nr: 49
[Czas: 15:43:22.231]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889269] treść nr: 8
[Czas: 15:43:22.433]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889269] |	 Wynik cząstkowy: 33
[Czas: 15:43:22.433]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889269] |	 Wynik cząstkowy: 35
[Czas: 15:43:22.433]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889269] |	 Wynik cząstkowy: 65
[Czas: 15:43:22.434]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889269] |	 ZDAŁ B |	 Wynik: 44.33 pkt
[Czas: 15:43:22.438]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889270] treść nr: 2
[Czas: 15:43:22.439]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889270] treść nr: 13
[Czas: 15:43:22.439]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889270] treść nr: 3
[Czas: 15:43:22.645]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889270] |	 Wynik cząstkowy: 79
[Czas: 15:43:22.645]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889270] |	 Wynik cząstkowy: 96
[Czas: 15:43:22.645]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889270] |	 Wynik cząstkowy: 22
[Czas: 15:43:22.645]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889270] |	 ZDAŁ B |	 Wynik: 65.67 pkt
[Czas: 15:43:22.646]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889271] treść nr: 13
[Czas: 15:43:22.646]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889271] treść nr: 35
[Czas: 15:43:22.646]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889271] treść nr: 29
[Czas: 15:43:22.861]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889271] |	 Wynik cząstkowy: 75
[Czas: 15:43:22.861]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889271] |	 Wynik cząstkowy: 6
[Czas: 15:43:22.861]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889271] |	 Wynik cząstkowy: 62
[Czas: 15:43:22.861]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889271] |	 ZDAŁ B |	 Wynik: 47.67 pkt
[Czas: 15:43:22.862]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889272] treść nr: 11
[Czas: 15:43:22.862]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889272] treść nr: 36
[Czas: 15:43:22.863]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889272] treść nr: 42
[Czas: 15:43:23.064]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889272] |	 Wynik cząstkowy: 66
[Czas: 15:43:23.064]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889272] |	 Wynik cząstkowy: 78
[Czas: 15:43:23.064]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889272] |	 Wynik cząstkowy: 100
[Czas: 15:43:23.065]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889272] |	 ZDAŁ B |	 Wynik: 81.33 pkt
[Czas: 15:43:23.065]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889273] treść nr: 4
[Czas: 15:43:23.066]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889273] treść nr: 30
[Czas: 15:43:23.066]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889273] treść nr: 22
[Czas: 15:43:23.267]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889273] |	 Wynik cząstkowy: 77
[Czas: 15:43:23.267]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889273] |	 Wynik cząstkowy: 70
[Czas: 15:43:23.267]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889273] |	 Wynik cząstkowy: 70
[Czas: 15:43:23.267]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889273] |	 ZDAŁ B |	 Wynik: 72.33 pkt
[Czas: 15:43:23.267]	[Komisja B] [PID: 889243] |	 Pytanie nr: 1 |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Zadał kandydatowi [PID: 889274] treść nr: 16
[Czas: 15:43:23.268]	[Komisja B] [PID: 889243] |	 Pytanie nr: 2 |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Zadał kandydatowi [PID: 889274] treść nr: 22
[Czas: 15:43:23.268]	[Komisja B] [PID: 889243] |	 Pytanie nr: 3 |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Zadał kandydatowi [PID: 889274] treść nr: 7
[Czas: 15:43:23.469]	[Komisja B] [PID: 889243] |	 Egzaminator [P] [TID: 889245] [ID: 0] |	 Ocenił kandydata [PID: 889274] |	 Wynik cząstkowy: 75
[Czas: 15:43:23.469]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889247] [ID: 1] |	 Ocenił kandydata [PID: 889274] |	 Wynik cząstkowy: 75
[Czas: 15:43:23.469]	[Komisja B] [PID: 889243] |	 Egzaminator [C] [TID: 889250] [ID: 2] |	 Ocenił kandydata [PID: 889274] |	 Wynik cząstkowy: 47
[Czas: 15:43:23.470]	[Komisja B] [PID: 889243] |	 Kandydat [PID: 889274] |	 ZDAŁ B |	 Wynik: 65.67 pkt
