[Czas: 17:37:40.692]	[Dziekan] [PID: 1030248] Rekrutacja otwarta. Generuję komisje i kandydatów 
[Czas: 17:37:50.745]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030331] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.745]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030332] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.745]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030333] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.745]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030334] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.745]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030335] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.745]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030336] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.746]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030337] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.746]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030338] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.746]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030339] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.746]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030340] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.746]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030341] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.746]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030342] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.746]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030343] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.747]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030344] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.747]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030345] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.747]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030346] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.747]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030347] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.747]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030348] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.747]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030349] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.926]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030350] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.972]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030351] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.973]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030352] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.973]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030353] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.973]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030354] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.973]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030355] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.973]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030356] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.973]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030357] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.973]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030358] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.973]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030359] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.973]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030360] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.973]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030361] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.974]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030362] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.974]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030363] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.974]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030364] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.974]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030365] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.974]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030366] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 17:37:50.974]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030367] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.975]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030368] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.975]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030369] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.975]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030370] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.975]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030371] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.975]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030372] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.975]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030373] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.975]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030374] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 17:37:50.975]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030375] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.975]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030376] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.975]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030377] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.976]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030378] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.976]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030379] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.976]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030380] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.976]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030381] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.976]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030382] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.977]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030383] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.977]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030384] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.992]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030385] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:50.999]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030386] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.004]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030387] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.011]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030388] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.015]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030389] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.018]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030390] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.022]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030391] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.025]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030392] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.038]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030393] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.040]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030394] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.042]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030395] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.051]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030396] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.056]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030397] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.059]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030398] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.233]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030399] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.269]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030400] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.269]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030401] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.270]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030402] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.270]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030403] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.270]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030404] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.270]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030405] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.270]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030406] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.270]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030407] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.270]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030408] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.270]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030409] skierowany do komisji A [PID: 1030249] |	 Kandydat zdał teorię wcześniej
[Czas: 17:37:51.270]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030410] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.273]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030411] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.273]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030412] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.280]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030413] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 17:37:51.283]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030414] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.283]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030415] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.283]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030416] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.283]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030417] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.283]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030418] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.283]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030419] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.284]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030420] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.288]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030421] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.296]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030422] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.300]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030423] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.308]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030424] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.312]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030425] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.321]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030426] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.329]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030427] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.331]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030428] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.332]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030429] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 17:37:51.339]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030430] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.340]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030431] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.341]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030432] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.341]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030433] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.341]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030434] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.341]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030435] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.341]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030436] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.341]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030437] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.341]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030438] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.342]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030439] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.342]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030440] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.342]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030441] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.342]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030442] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.342]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030443] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.344]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030444] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.348]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030445] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.357]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030446] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.364]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030447] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.466]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030448] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.486]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030449] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.486]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030450] skierowany do komisji A [PID: 1030249] |	 Kandydat zdał teorię wcześniej
[Czas: 17:37:51.488]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030451] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.500]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030452] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.555]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030453] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.564]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030454] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.564]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030455] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.564]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030456] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.564]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030457] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.565]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030458] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.565]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030459] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.565]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030460] zarejestrowany w systemie, ale odrzucony (Brak Matury).
[Czas: 17:37:51.565]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030461] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.565]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030462] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.565]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030463] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.565]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030464] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.565]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030465] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.565]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030466] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.566]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030467] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.566]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030468] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.566]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030469] skierowany do komisji A [PID: 1030249]
[Czas: 17:37:51.566]	[Dziekan] [PID: 1030248] Kandydat [PID: 1030470] skierowany do komisji A [PID: 1030249]
