PID | OCENA A | OCENA B | OGOLNA OCENA | STATUS
9397 | 67.60 | 57.00 | 62.30 | ZDAL_EGZAMIN_BRAK_MIEJSC
9669 | 58.20 | 66.33 | 62.27 | ZDAL_EGZAMIN_BRAK_MIEJSC
9895 | 66.80 | 57.67 | 62.23 | ZDAL_EGZAMIN_BRAK_MIEJSC
8756 | 71.40 | 53.00 | 62.20 | ZDAL_EGZAMIN_BRAK_MIEJSC
8735 | 57.60 | 66.67 | 62.14 | ZDAL_EGZAMIN_BRAK_MIEJSC
9388 | 56.20 | 68.00 | 62.10 | ZDAL_EGZAMIN_BRAK_MIEJSC
8705 | 57.40 | 66.67 | 62.03 | ZDAL_EGZAMIN_BRAK_MIEJSC
9027 | 40.20 | 83.67 | 61.94 | ZDAL_EGZAMIN_BRAK_MIEJSC
8986 | 56.80 | 67.00 | 61.90 | ZDAL_EGZAMIN_BRAK_MIEJSC
9741 | 67.00 | 56.67 | 61.84 | ZDAL_EGZAMIN_BRAK_MIEJSC
8892 | 50.20 | 73.33 | 61.77 | ZDAL_EGZAMIN_BRAK_MIEJSC
8725 | 51.60 | 71.67 | 61.64 | ZDAL_EGZAMIN_BRAK_MIEJSC
9233 | 54.60 | 68.67 | 61.64 | ZDAL_EGZAMIN_BRAK_MIEJSC
9266 | 55.60 | 67.67 | 61.64 | ZDAL_EGZAMIN_BRAK_MIEJSC
9436 | 72.40 | 50.67 | 61.54 | ZDAL_EGZAMIN_BRAK_MIEJSC
9527 | 55.60 | 67.33 | 61.47 | ZDAL_EGZAMIN_BRAK_MIEJSC
9591 | 77.20 | 45.67 | 61.44 | ZDAL_EGZAMIN_BRAK_MIEJSC
9752 | 64.20 | 58.67 | 61.44 | ZDAL_EGZAMIN_BRAK_MIEJSC
8975 | 57.80 | 65.00 | 61.40 | ZDAL_EGZAMIN_BRAK_MIEJSC
9654 | 68.80 | 54.00 | 61.40 | ZDAL_EGZAMIN_BRAK_MIEJSC
9818 | 52.40 | 70.33 | 61.36 | ZDAL_EGZAMIN_BRAK_MIEJSC
9069 | 57.00 | 65.67 | 61.34 | ZDAL_EGZAMIN_BRAK_MIEJSC
9389 | 68.00 | 54.67 | 61.34 | ZDAL_EGZAMIN_BRAK_MIEJSC
9710 | 30.20 | 92.33 | 61.27 | ZDAL_EGZAMIN_BRAK_MIEJSC
9068 | 37.00 | 85.33 | 61.16 | ZDAL_EGZAMIN_BRAK_MIEJSC
9007 | 63.00 | 59.00 | 61.00 | ZDAL_EGZAMIN_BRAK_MIEJSC
9157 | 55.00 | 67.00 | 61.00 | ZDAL_EGZAMIN_BRAK_MIEJSC
9881 | 48.00 | 74.00 | 61.00 | ZDAL_EGZAMIN_BRAK_MIEJSC
9655 | 46.20 | 75.67 | 60.94 | ZDAL_EGZAMIN_BRAK_MIEJSC
9723 | 62.20 | 59.67 | 60.94 | ZDAL_EGZAMIN_BRAK_MIEJSC
8930 | 47.80 | 74.00 | 60.90 | ZDAL_EGZAMIN_BRAK_MIEJSC
8997 | 58.40 | 63.33 | 60.86 | ZDAL_EGZAMIN_BRAK_MIEJSC
9781 | 62.00 | 59.67 | 60.84 | ZDAL_EGZAMIN_BRAK_MIEJSC
9002 | 57.60 | 64.00 | 60.80 | ZDAL_EGZAMIN_BRAK_MIEJSC
8982 | 49.60 | 71.67 | 60.64 | ZDAL_EGZAMIN_BRAK_MIEJSC
9431 | 66.20 | 55.00 | 60.60 | ZDAL_EGZAMIN_BRAK_MIEJSC
9459 | 71.20 | 50.00 | 60.60 | ZDAL_EGZAMIN_BRAK_MIEJSC
9541 | 61.40 | 59.67 | 60.53 | ZDAL_EGZAMIN_BRAK_MIEJSC
8943 | 71.00 | 50.00 | 60.50 | ZDAL_EGZAMIN_BRAK_MIEJSC
9399 | 49.00 | 72.00 | 60.50 | ZDAL_EGZAMIN_BRAK_MIEJSC
9337 | 62.80 | 58.00 | 60.40 | ZDAL_EGZAMIN_BRAK_MIEJSC
9040 | 45.00 | 75.67 | 60.34 | ZDAL_EGZAMIN_BRAK_MIEJSC
9715 | 52.20 | 68.33 | 60.27 | ZDAL_EGZAMIN_BRAK_MIEJSC
8887 | 62.80 | 57.33 | 60.06 | ZDAL_EGZAMIN_BRAK_MIEJSC
9199 | 59.40 | 60.67 | 60.03 | ZDAL_EGZAMIN_BRAK_MIEJSC
8665 | 65.00 | 55.00 | 60.00 | ZDAL_EGZAMIN_BRAK_MIEJSC
9728 | 41.60 | 78.33 | 59.97 | ZDAL_EGZAMIN_BRAK_MIEJSC
9270 | 65.60 | 54.33 | 59.96 | ZDAL_EGZAMIN_BRAK_MIEJSC
9402 | 54.40 | 65.33 | 59.86 | ZDAL_EGZAMIN_BRAK_MIEJSC
9745 | 58.40 | 61.33 | 59.86 | ZDAL_EGZAMIN_BRAK_MIEJSC
9053 | 46.60 | 73.00 | 59.80 | ZDAL_EGZAMIN_BRAK_MIEJSC
9072 | 62.20 | 57.33 | 59.77 | ZDAL_EGZAMIN_BRAK_MIEJSC
9785 | 55.20 | 64.33 | 59.77 | ZDAL_EGZAMIN_BRAK_MIEJSC
9313 | 49.40 | 70.00 | 59.70 | ZDAL_EGZAMIN_BRAK_MIEJSC
9683 | 58.00 | 61.33 | 59.66 | ZDAL_EGZAMIN_BRAK_MIEJSC
9484 | 51.80 | 67.33 | 59.56 | ZDAL_EGZAMIN_BRAK_MIEJSC
9603 | 53.80 | 65.33 | 59.56 | ZDAL_EGZAMIN_BRAK_MIEJSC
9806 | 62.40 | 56.67 | 59.53 | ZDAL_EGZAMIN_BRAK_MIEJSC
8748 | 66.00 | 52.67 | 59.34 | ZDAL_EGZAMIN_BRAK_MIEJSC
9623 | 43.60 | 75.00 | 59.30 | ZDAL_EGZAMIN_BRAK_MIEJSC
9726 | 70.60 | 48.00 | 59.30 | ZDAL_EGZAMIN_BRAK_MIEJSC
8978 | 65.20 | 53.33 | 59.27 | ZDAL_EGZAMIN_BRAK_MIEJSC
9278 | 67.40 | 51.00 | 59.20 | ZDAL_EGZAMIN_BRAK_MIEJSC
9279 | 47.40 | 71.00 | 59.20 | ZDAL_EGZAMIN_BRAK_MIEJSC
9585 | 84.00 | 34.33 | 59.16 | ZDAL_EGZAMIN_BRAK_MIEJSC
8828 | 83.60 | 34.67 | 59.13 | ZDAL_EGZAMIN_BRAK_MIEJSC
9648 | 66.60 | 51.67 | 59.13 | ZDAL_EGZAMIN_BRAK_MIEJSC
8797 | 49.20 | 69.00 | 59.10 | ZDAL_EGZAMIN_BRAK_MIEJSC
9209 | 59.20 | 59.00 | 59.10 | ZDAL_EGZAMIN_BRAK_MIEJSC
9438 | 48.20 | 70.00 | 59.10 | ZDAL_EGZAMIN_BRAK_MIEJSC
9444 | 48.40 | 69.67 | 59.03 | ZDAL_EGZAMIN_BRAK_MIEJSC
9676 | 57.40 | 60.67 | 59.03 | ZDAL_EGZAMIN_BRAK_MIEJSC
8895 | 59.00 | 59.00 | 59.00 | ZDAL_EGZAMIN_BRAK_MIEJSC
9054 | 65.00 | 53.00 | 59.00 | ZDAL_EGZAMIN_BRAK_MIEJSC
9085 | 85.00 | 33.00 | 59.00 | ZDAL_EGZAMIN_BRAK_MIEJSC
9799 | 71.00 | 47.00 | 59.00 | ZDAL_EGZAMIN_BRAK_MIEJSC
9671 | 57.60 | 60.33 | 58.97 | ZDAL_EGZAMIN_BRAK_MIEJSC
9708 | 68.40 | 49.33 | 58.87 | ZDAL_EGZAMIN_BRAK_MIEJSC
9094 | 37.40 | 80.33 | 58.86 | ZDAL_EGZAMIN_BRAK_MIEJSC
9045 | 43.20 | 74.33 | 58.77 | ZDAL_EGZAMIN_BRAK_MIEJSC
9787 | 43.20 | 74.33 | 58.77 | ZDAL_EGZAMIN_BRAK_MIEJSC
9013 | 67.80 | 49.67 | 58.73 | ZDAL_EGZAMIN_BRAK_MIEJSC
9254 | 41.80 | 75.67 | 58.73 | ZDAL_EGZAMIN_BRAK_MIEJSC
9635 | 56.80 | 60.67 | 58.73 | ZDAL_EGZAMIN_BRAK_MIEJSC
8711 | 69.40 | 48.00 | 58.70 | ZDAL_EGZAMIN_BRAK_MIEJSC
9403 | 60.40 | 57.00 | 58.70 | ZDAL_EGZAMIN_BRAK_MIEJSC
8831 | 53.00 | 64.33 | 58.66 | ZDAL_EGZAMIN_BRAK_MIEJSC
9234 | 37.00 | 80.33 | 58.66 | ZDAL_EGZAMIN_BRAK_MIEJSC
9531 | 63.00 | 54.33 | 58.66 | ZDAL_EGZAMIN_BRAK_MIEJSC
9786 | 63.00 | 54.33 | 58.66 | ZDAL_EGZAMIN_BRAK_MIEJSC
8710 | 45.60 | 71.67 | 58.64 | ZDAL_EGZAMIN_BRAK_MIEJSC
9620 | 44.20 | 73.00 | 58.60 | ZDAL_EGZAMIN_BRAK_MIEJSC
9662 | 56.80 | 60.33 | 58.56 | ZDAL_EGZAMIN_BRAK_MIEJSC
8883 | 49.00 | 68.00 | 58.50 | ZDAL_EGZAMIN_BRAK_MIEJSC
8792 | 46.20 | 70.67 | 58.44 | ZDAL_EGZAMIN_BRAK_MIEJSC
8720 | 59.60 | 57.00 | 58.30 | ZDAL_EGZAMIN_BRAK_MIEJSC
9494 | 81.20 | 35.33 | 58.27 | ZDAL_EGZAMIN_BRAK_MIEJSC
9696 | 68.20 | 48.33 | 58.27 | ZDAL_EGZAMIN_BRAK_MIEJSC
8697 | 43.80 | 72.67 | 58.23 | ZDAL_EGZAMIN_BRAK_MIEJSC
9394 | 45.00 | 71.33 | 58.16 | ZDAL_EGZAMIN_BRAK_MIEJSC
9821 | 47.00 | 69.33 | 58.16 | ZDAL_EGZAMIN_BRAK_MIEJSC
9110 | 43.20 | 73.00 | 58.10 | ZDAL_EGZAMIN_BRAK_MIEJSC
9348 | 52.20 | 64.00 | 58.10 | ZDAL_EGZAMIN_BRAK_MIEJSC
9589 | 58.80 | 57.33 | 58.06 | ZDAL_EGZAMIN_BRAK_MIEJSC
9509 | 66.40 | 49.67 | 58.04 | ZDAL_EGZAMIN_BRAK_MIEJSC
8749 | 46.40 | 69.67 | 58.03 | ZDAL_EGZAMIN_BRAK_MIEJSC
9581 | 54.40 | 61.67 | 58.03 | ZDAL_EGZAMIN_BRAK_MIEJSC
9106 | 56.60 | 59.33 | 57.97 | ZDAL_EGZAMIN_BRAK_MIEJSC
8924 | 52.60 | 63.00 | 57.80 | ZDAL_EGZAMIN_BRAK_MIEJSC
9251 | 73.40 | 42.00 | 57.70 | ZDAL_EGZAMIN_BRAK_MIEJSC
8739 | 62.00 | 53.33 | 57.66 | ZDAL_EGZAMIN_BRAK_MIEJSC
9215 | 73.00 | 42.33 | 57.66 | ZDAL_EGZAMIN_BRAK_MIEJSC
8721 | 30.60 | 84.67 | 57.64 | ZDAL_EGZAMIN_BRAK_MIEJSC
8987 | 58.60 | 56.67 | 57.64 | ZDAL_EGZAMIN_BRAK_MIEJSC
8992 | 43.60 | 71.67 | 57.64 | ZDAL_EGZAMIN_BRAK_MIEJSC
9229 | 63.20 | 52.00 | 57.60 | ZDAL_EGZAMIN_BRAK_MIEJSC
8727 | 47.60 | 67.33 | 57.47 | ZDAL_EGZAMIN_BRAK_MIEJSC
9111 | 51.60 | 63.33 | 57.47 | ZDAL_EGZAMIN_BRAK_MIEJSC
9258 | 54.60 | 60.33 | 57.47 | ZDAL_EGZAMIN_BRAK_MIEJSC
9185 | 53.20 | 61.67 | 57.44 | ZDAL_EGZAMIN_BRAK_MIEJSC
8937 | 45.00 | 69.67 | 57.34 | ZDAL_EGZAMIN_BRAK_MIEJSC
8938 | 55.00 | 59.67 | 57.34 | ZDAL_EGZAMIN_BRAK_MIEJSC
9802 | 57.00 | 57.67 | 57.34 | ZDAL_EGZAMIN_BRAK_MIEJSC
8770 | 31.60 | 83.00 | 57.30 | ZDAL_EGZAMIN_BRAK_MIEJSC
9026 | 48.60 | 66.00 | 57.30 | ZDAL_EGZAMIN_BRAK_MIEJSC
9227 | 51.60 | 63.00 | 57.30 | ZDAL_EGZAMIN_BRAK_MIEJSC
8898 | 43.20 | 71.33 | 57.27 | ZDAL_EGZAMIN_BRAK_MIEJSC
9343 | 42.20 | 72.33 | 57.27 | ZDAL_EGZAMIN_BRAK_MIEJSC
8683 | 74.80 | 39.67 | 57.23 | ZDAL_EGZAMIN_BRAK_MIEJSC
8929 | 68.40 | 46.00 | 57.20 | ZDAL_EGZAMIN_BRAK_MIEJSC
9718 | 51.00 | 63.33 | 57.16 | ZDAL_EGZAMIN_BRAK_MIEJSC
9845 | 34.60 | 79.67 | 57.14 | ZDAL_EGZAMIN_BRAK_MIEJSC
9685 | 47.20 | 67.00 | 57.10 | ZDAL_EGZAMIN_BRAK_MIEJSC
9859 | 56.20 | 58.00 | 57.10 | ZDAL_EGZAMIN_BRAK_MIEJSC
9744 | 59.80 | 54.33 | 57.06 | ZDAL_EGZAMIN_BRAK_MIEJSC
9273 | 71.40 | 42.67 | 57.04 | ZDAL_EGZAMIN_BRAK_MIEJSC
9257 | 46.00 | 68.00 | 57.00 | ZDAL_EGZAMIN_BRAK_MIEJSC
9319 | 40.00 | 74.00 | 57.00 | ZDAL_EGZAMIN_BRAK_MIEJSC
9364 | 71.00 | 43.00 | 57.00 | ZDAL_EGZAMIN_BRAK_MIEJSC
9783 | 56.60 | 57.33 | 56.97 | ZDAL_EGZAMIN_BRAK_MIEJSC
