PID | OCENA A | OCENA B | OGOLNA OCENA
1044832 | 57.00 | 80.67 | 68.84
1052771 | 79.00 | 58.67 | 68.84
1045081 | 50.60 | 87.00 | 68.80
1052413 | 68.20 | 69.33 | 68.77
1052454 | 68.40 | 69.00 | 68.70
1044435 | 59.20 | 78.00 | 68.60
1052576 | 78.80 | 58.33 | 68.56
1052711 | 66.40 | 70.67 | 68.53
1052712 | 60.80 | 76.00 | 68.40
1044130 | 58.00 | 78.67 | 68.34
1052597 | 70.80 | 65.67 | 68.23
1044400 | 51.20 | 85.00 | 68.10
1044084 | 55.00 | 81.00 | 68.00
1044726 | 56.00 | 80.00 | 68.00
1045086 | 63.00 | 73.00 | 68.00
1044498 | 81.20 | 54.67 | 67.94
1044670 | 56.20 | 79.67 | 67.94
1044086 | 59.40 | 76.33 | 67.86
1052451 | 61.00 | 74.67 | 67.84
1052507 | 61.00 | 74.67 | 67.84
1044884 | 78.60 | 57.00 | 67.80
1044745 | 65.40 | 70.00 | 67.70
1052489 | 73.00 | 62.33 | 67.66
1052604 | 85.60 | 49.67 | 67.63
1044908 | 70.20 | 65.00 | 67.60
1044806 | 61.00 | 74.00 | 67.50
1044748 | 61.60 | 73.33 | 67.47
1052793 | 65.20 | 69.67 | 67.44
1052341 | 63.40 | 71.33 | 67.36
1044097 | 50.00 | 84.67 | 67.34
1044722 | 64.00 | 70.67 | 67.34
1044263 | 74.40 | 60.00 | 67.20
1044682 | 54.40 | 80.00 | 67.20
1044194 | 63.80 | 70.33 | 67.06
1044991 | 58.40 | 75.67 | 67.03
1044572 | 53.00 | 81.00 | 67.00
1052383 | 73.20 | 60.67 | 66.94
1052565 | 53.20 | 80.67 | 66.94
1044671 | 58.00 | 75.67 | 66.84
1044103 | 81.60 | 52.00 | 66.80
1044817 | 58.20 | 75.33 | 66.77
1044060 | 83.40 | 50.00 | 66.70
1043991 | 74.00 | 59.33 | 66.66
1044281 | 71.60 | 61.67 | 66.63
1052823 | 68.20 | 65.00 | 66.60
1044566 | 61.40 | 71.67 | 66.53
1044087 | 62.60 | 70.33 | 66.47
1045171 | 68.60 | 64.33 | 66.47
1052308 | 47.60 | 85.33 | 66.47
1052865 | 59.60 | 73.33 | 66.47
1044999 | 85.00 | 47.67 | 66.34
1052305 | 50.20 | 82.33 | 66.27
1044657 | 51.80 | 80.67 | 66.23
1045038 | 69.80 | 62.67 | 66.23
1044599 | 76.40 | 56.00 | 66.20
1044336 | 77.00 | 55.00 | 66.00
1044516 | 51.00 | 81.00 | 66.00
1044705 | 74.00 | 58.00 | 66.00
1044062 | 54.60 | 77.33 | 65.97
1044322 | 53.60 | 78.33 | 65.97
1045099 | 52.20 | 79.67 | 65.94
1044551 | 72.80 | 59.00 | 65.90
1052692 | 59.40 | 72.33 | 65.86
1044139 | 68.20 | 63.33 | 65.77
1052754 | 62.20 | 69.33 | 65.77
1044204 | 58.80 | 72.67 | 65.73
1052707 | 64.80 | 66.67 | 65.73
1044669 | 51.40 | 80.00 | 65.70
1044446 | 78.00 | 53.33 | 65.66
1045025 | 65.00 | 66.33 | 65.66
1044056 | 52.60 | 78.67 | 65.64
1045152 | 61.20 | 70.00 | 65.60
1052564 | 63.20 | 68.00 | 65.60
1043990 | 50.80 | 80.33 | 65.56
1044148 | 76.00 | 55.00 | 65.50
1045014 | 60.00 | 71.00 | 65.50
1052316 | 61.00 | 70.00 | 65.50
1044464 | 70.60 | 60.33 | 65.47
1052270 | 64.80 | 66.00 | 65.40
1052661 | 47.80 | 83.00 | 65.40
1044888 | 60.40 | 70.33 | 65.36
1052694 | 59.00 | 71.67 | 65.34
1044506 | 59.20 | 71.33 | 65.27
1044738 | 53.40 | 77.00 | 65.20
1044622 | 60.60 | 69.67 | 65.14
1045056 | 63.60 | 66.67 | 65.14
1044658 | 52.00 | 78.00 | 65.00
1044405 | 74.60 | 55.33 | 64.97
1045155 | 46.60 | 83.33 | 64.97
1044773 | 39.80 | 90.00 | 64.90
1044892 | 68.80 | 61.00 | 64.90
1044906 | 55.80 | 74.00 | 64.90
1052848 | 50.00 | 79.67 | 64.84
1044307 | 60.60 | 69.00 | 64.80
1044258 | 71.20 | 58.33 | 64.77
1044703 | 60.20 | 69.33 | 64.77
1044931 | 56.20 | 73.33 | 64.77
1045003 | 64.20 | 65.33 | 64.77
1045047 | 58.20 | 71.33 | 64.77
1052483 | 63.20 | 66.33 | 64.77
1044015 | 70.40 | 59.00 | 64.70
1052660 | 57.20 | 72.00 | 64.60
1045167 | 50.00 | 79.00 | 64.50
1045094 | 64.80 | 64.00 | 64.40
1044582 | 63.20 | 65.33 | 64.27
1044951 | 64.40 | 64.00 | 64.20
1052495 | 48.40 | 80.00 | 64.20
1043958 | 62.00 | 66.33 | 64.16
1044692 | 47.00 | 81.33 | 64.16
1044943 | 62.60 | 65.67 | 64.14
